ref,temp,lineage,ln_mu,mu,treatment
Schaum,15,ancestral,-0.543027,0.580986941,Schaum_anc
Schaum,20,ancestral,-0.48368,0.616510454,Schaum_anc
Schaum,25,ancestral,-0.0830861,0.920271908,Schaum_anc
Schaum,30,ancestral,-0.0608309,0.940982346,Schaum_anc
Schaum,35,ancestral,-1.83383,0.159800359,Schaum_anc
Schaum,40,ancestral,NA,NA,Schaum_anc
Schaum,15,t22,-0.691395,0.500876858,Schaum_t22
Schaum,20,t22,-0.394659,0.673909803,Schaum_t22
Schaum,25,t22,-0.253709,0.775917561,Schaum_t22
Schaum,30,t22,0.0281899,1.028590995,Schaum_t22
Schaum,35,t22,-0.854599,0.425453764,Schaum_t22
Schaum,40,t22,-2.75371,0.063691128,Schaum_t22
Schaum,15,t26,-0.543027,0.580986941,Schaum_t26
Schaum,20,t26,-0.394659,0.673909803,Schaum_t26
Schaum,25,t26,-0.0534125,0.947988886,Schaum_t26
Schaum,30,t26,0.198813,1.219953813,Schaum_t26
Schaum,35,t26,0.317507,1.373698861,Schaum_t26
Schaum,40,t26,-3.31751,0.036242964,Schaum_t26
Schaum,15,t32,-1.36647,0.255005542,Schaum_t32
Schaum,20,t32,-1.12908,0.323330584,Schaum_t32
Schaum,25,t32,-0.75816,0.468527725,Schaum_t32
Schaum,30,t32,-0.379822,0.683983147,Schaum_t32
Schaum,35,t32,-0.632047,0.531502701,Schaum_t32
Schaum,40,t32,-1.5,0.22313016,Schaum_t32
Schaum,15,tFS,-1.41098,0.24390414,Schaum_tFS
Schaum,20,tFS,-0.824926,0.438267423,Schaum_tFS
Schaum,25,tFS,-0.424332,0.654206649,Schaum_tFS
Schaum,30,tFS,0.0727003,1.075408189,Schaum_tFS
Schaum,35,tFS,0.391691,1.479480481,Schaum_tFS
Schaum,40,tFS,-1.16617,0.311557926,Schaum_tFS
ODonnell,3.4,t16,NA,0.02,ODonnell_t16
ODonnell,3.4,t16,NA,0.04,ODonnell_t16
ODonnell,3.4,t16,NA,0.2,ODonnell_t16
ODonnell,3.4,t16,NA,0.18,ODonnell_t16
ODonnell,9.6,t16,NA,0.43,ODonnell_t16
ODonnell,9.6,t16,NA,0.4,ODonnell_t16
ODonnell,9.6,t16,NA,0.36,ODonnell_t16
ODonnell,9.6,t16,NA,0.33,ODonnell_t16
ODonnell,15.8,t16,NA,0.96,ODonnell_t16
ODonnell,15.8,t16,NA,0.85,ODonnell_t16
ODonnell,15.8,t16,NA,0.83,ODonnell_t16
ODonnell,15.8,t16,NA,0.79,ODonnell_t16
ODonnell,15.8,t16,NA,0.77,ODonnell_t16
ODonnell,15.8,t16,NA,0.75,ODonnell_t16
ODonnell,15.8,t16,NA,0.69,ODonnell_t16
ODonnell,15.8,t16,NA,0.65,ODonnell_t16
ODonnell,20.3,t16,NA,1.11,ODonnell_t16
ODonnell,20.3,t16,NA,1.06,ODonnell_t16
ODonnell,20.3,t16,NA,1.04,ODonnell_t16
ODonnell,20.3,t16,NA,0.88,ODonnell_t16
ODonnell,25,t16,NA,1.2,ODonnell_t16
ODonnell,25,t16,NA,1.15,ODonnell_t16
ODonnell,25,t16,NA,1.1,ODonnell_t16
ODonnell,25,t16,NA,1.06,ODonnell_t16
ODonnell,25,t16,NA,1.03,ODonnell_t16
ODonnell,25,t16,NA,0.9,ODonnell_t16
ODonnell,26.2,t16,NA,1.1,ODonnell_t16
ODonnell,26.2,t16,NA,1.04,ODonnell_t16
ODonnell,26.2,t16,NA,1,ODonnell_t16
ODonnell,26.2,t16,NA,0.99,ODonnell_t16
ODonnell,26.2,t16,NA,0.9,ODonnell_t16
ODonnell,27.3,t16,NA,1.1,ODonnell_t16
ODonnell,27.3,t16,NA,1.07,ODonnell_t16
ODonnell,27.3,t16,NA,1,ODonnell_t16
ODonnell,27.3,t16,NA,0.99,ODonnell_t16
ODonnell,27.3,t16,NA,0.87,ODonnell_t16
ODonnell,28.7,t16,NA,0.99,ODonnell_t16
ODonnell,28.7,t16,NA,0.96,ODonnell_t16
ODonnell,28.7,t16,NA,0.94,ODonnell_t16
ODonnell,31,t16,NA,0.7,ODonnell_t16
ODonnell,31,t16,NA,0.67,ODonnell_t16
ODonnell,31,t16,NA,0.64,ODonnell_t16
