temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.161422616,26.32298384,0.252838973,201760.9213,65691.98399,1.54E+08,355.7415125,8.43E-09,0.194848787,0.013423756,0.000385346,0.001171053,0.002163791,0.107919123,0.180088135,449085.0926,269.4554529,345.7345965,10.00691604,1339.354084,0.379749296,7.88E+06
4,0.181429596,24.58242698,0.250073286,224836.8721,73199.83539,1.53E+08,397.4814048,8.39E-09,0.194036409,0.015134373,0.000475781,0.001235617,0.002328197,0.10743879,0.179350824,481053.1277,281.7644088,385.2653159,12.21608889,1321.447694,0.422623101,8.78E+06
5,0.203626494,22.99147187,0.247091123,249982.1561,81382.4076,1.52E+08,443.2136923,1.54E-13,0.193135885,0.017043591,0.000586381,0.001302185,0.002502205,0.106902667,0.178527085,514523.3905,294.0185112,428.3440474,14.86964492,1301.8984,8.68E-06,9.77E+06
6,0.228200747,21.53843205,0.24388871,277276.2065,90267.30854,1.50E+08,493.1559172,0,0.192139208,0.01917128,0.000721373,0.001370577,0.002685819,0.106304461,0.177607282,549429.4913,306.1162109,475.1107345,18.04518273,1280.622514,0,1.08E+07
7,0.255344496,20.2123709,0.240468763,306781.5303,99877.66866,1.49E+08,547.5093504,0,0.191038204,0.021538695,0.000885799,0.001440571,0.00287883,0.105637011,0.176580891,585683.5163,317.9483371,525.6784381,21.83091232,1257.548527,0,1.20E+07
8,0.285251348,19.00343535,0.236834956,338537.3476,110230.5786,1.47E+08,606.4498228,0,0.189824522,0.024168437,0.001085651,0.001511883,0.003080839,0.10489236,0.175436308,623164.0712,329.392955,580.1236719,26.32615094,1232.612772,0,1.32E+07
9,0.318111943,17.90274486,0.232992646,372554.1001,121335.9803,1.46E+08,670.1202147,8.21E-09,0.188489814,0.027084365,0.001328033,0.001584157,0.003291205,0.104061643,0.174160775,661712.3202,340.3157338,638.4784535,31.64176117,1205.761045,0.705666182,1.46E+07
10,0.354108037,16.90208632,0.228952855,408810.2257,133196.5106,1.44E+08,738.6271999,8.11E-09,0.187026118,0.030311472,0.001621328,0.001656965,0.003508916,0.10313481,0.172740384,701137.0236,350.5754494,700.726566,37.90063397,1176.955515,0.771674449,1.60E+07
11,0.393404585,15.99426334,0.224726423,447242.4153,145805.6593,1.42E+08,812.027179,8.01E-09,0.18542597,0.033875683,0.001975393,0.00172978,0.003732617,0.102100705,0.171159844,741196.5712,360.0171042,766.7899336,45.23724537,1146.166608,0.840815617,1.75E+07
12,0.436139446,15.17280777,0.220328014,487741.2782,159148.0459,1.40E+08,890.3220964,7.89E-09,0.18368296,0.037803594,0.00240177,0.001801969,0.003960459,0.10094675,0.16940249,781602.9165,368.4776943,836.5246922,53.79740419,1113.378673,0.912620475,1.91E+07
13,0.482409972,14.43204412,0.215774941,530143.3936,173199.154,1.38E+08,973.4497954,7.75E-09,0.181792211,0.042122127,0.002913907,0.001872781,0.004190016,0.099658785,0.167450164,822013.2474,375.7856395,909.712605,63.73719044,1078.587432,0.986462301,2.08E+07
14,0.532255708,13.76710865,0.211086902,574222.9662,187925.6837,1.36E+08,1061.274663,7.42E-09,0.179751031,0.046858084,0.003527399,0.001941328,0.004418176,0.098220846,0.165283129,862022.3331,381.7613053,986.0533741,75.22128879,1041.797814,1.035821603,2.26E+07
15,0.585636204,13.17399748,0.206285609,619682.0867,203286.4123,1.34E+08,1153.577111,7.43E-09,0.177559692,0.052037616,0.004260233,0.002006562,0.004641011,0.096614906,0.162879974,901152.5773,386.2171993,1065.156638,88.42047266,1003.020651,1.136816876,2.44E+07
16,0.642402657,12.64965374,0.201394297,666138.9882,219233.6026,1.32E+08,1250.041094,7.25E-09,0.175222378,0.057685579,0.005133033,0.002067262,0.004853639,0.094820577,0.160217525,938840.8339,388.957677,1146.533111,103.5079824,962.2681796,1.211064255,2.63E+07
17,0.702261834,12.19210744,0.19643714,713113.5212,235714.9671,1.30E+08,1350.238564,7.04E-09,0.172748286,0.063824795,0.006169303,0.002122005,0.00505008,0.092814768,0.157270756,974420.8882,389.7780453,1229.584115,120.6544485,919.5485508,1.282755199,2.83E+07
18,0.764730284,11.80069098,0.191438596,760008.8922,252676.1485,1.27E+08,1453.609309,6.81E-09,0.170152898,0.070475217,0.007395655,0.002169145,0.005223096,0.090571298,0.154012684,1.01E+06,388.463007,1313.588435,140.0208737,874.8596073,1.350097166,3.03E+07
19,0.829076403,11.4763653,0.186422725,806088.6842,270063.6179,1.25E+08,1559.434316,6.55E-09,0.167459419,0.077653023,0.00884201,0.00220678,0.005364056,0.088060437,0.150414269,1.04E+06,384.7845532,1397.685297,161.7490198,828.1825129,1.410973641,3.24E+07
20,0.894247257,11.22221477,0.181412507,850448.3255,287827.8186,1.22E+08,1666.800601,6.27E-09,0.164700352,0.085369662,0.010541768,0.002232727,0.005462811,0.085248396,0.146444277,1.06E+06,378.4996405,1480.852257,185.9483441,779.476096,1.462938428,3.45E+07
21,0.958776314,11.0442089,0.176429233,891980.7397,305926.2871,1.20E+08,1774.555583,5.70E-09,0.161919191,0.093630897,0.012531929,0.002244481,0.005507639,0.08209673,0.142069128,1.08E+06,369.3483449,1561.877155,212.6784286,728.6731769,1.437733979,3.67E+07
22,1.020667186,10.95240334,0.171492013,929337.127,324326.375,1.17E+08,1881.249993,5.62E-09,0.159172158,0.102435872,0.014853173,0.002239181,0.00548529,0.07856164,0.13725268,1.09E+06,357.0536846,1639.324271,241.9257224,675.6806474,1.52872186,3.89E+07
23,1.077247206,10.96290064,0.166617481,960885.9906,343007.0298,1.14E+08,1985.070168,5.25E-09,0.156529948,0.111776286,0.017549877,0.002213564,0.005381206,0.07459316,0.131955953,1.09E+06,341.324927,1711.496683,273.5734846,620.3855787,1.536138163,4.12E+07
24,1.124982845,11.10118861,0.161819736,984677.2085,361958.9622,1.11E+08,2083.764629,4.85E-09,0.154079338,0.121635673,0.02067009,0.002163909,0.005180046,0.070134182,0.126136757,1.07E+06,321.8669761,1776.400261,307.3643678,562.6702323,1.521983789,4.34E+07
25,1.15924666,11.40814514,0.157110613,998423.0997,381182.3216,1.08E+08,2174.575851,4.42E-09,0.151924575,0.131988837,0.024265445,0.002085981,0.004866698,0.065119265,0.119749194,1.04E+06,298.3990858,1831.719489,342.8563623,502.4390103,1.482697051,4.57E+07
26,1.174022229,11.95156259,0.152500359,999516.9699,400681.5796,1.05E+08,2254.201219,0,0.150188379,0.142801403,0.028391019,0.001974956,0.004428053,0.059473138,0.112743052,997231.4949,270.6870924,1874.825207,379.3760115,439.6606107,0,4.81E+07
27,1.161528983,12.85043753,0.147998021,985105.2668,420452.9637,1.02E+08,2318.793339,0,0.149012251,0.154029318,0.033105103,0.001825328,0.003856094,0.053108892,0.105063015,927807.9153,238.5884563,1902.820649,415.9726894,374.4228889,0,5.05E+07
28,1.11174343,14.33149558,0.143612681,952268.1534,440473.4574,9.83E+07,2364.09641,0,0.148556019,0.165618127,0.03846881,0.001630803,0.003152923,0.045925416,0.096647902,832223.2432,202.1196813,1912.700451,451.3959598,307.0060372,0,5.29E+07
29,1.011784679,16.88409786,0.139351782,898302.7045,460679.9198,9.45E+07,2385.696189,0,0.148995785,0.177501407,0.044545316,0.001384161,0.002339204,0.037804208,0.087429918,706657.41,161.5287603,1901.592423,484.1037656,237.9523379,0,5.53E+07
30,0.845123493,21.79232184,0.135212239,821138.783,480949.6519,9.04E+07,2379.469042,1.45E-09,0.150519689,0.189597604,0.051398341,0.001077098,0.00146806,0.028604768,0.077334439,547694.9701,117.368661,1867.136676,512.3323663,168.1210684,0.619946952,5.77E+07
31,0.590563045,33.84997619,0.131132642,719859.4655,501094.0331,8.61E+07,2342.253509,8.13E-10,0.15332013,0.201804227,0.059089173,0.000700064,0.000648179,0.018157031,0.066281196,352727.5838,70.54902222,1807.998738,534.2547706,98.69268712,0.354996017,6.01E+07
