temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.241241718,17.88076423,0.199016287,291718.6319,94886.16247,1.50E+08,514.1637059,1.57E-10,0.04145834,0.020107985,0.000576357,0.001786707,0.004933916,0.16127587,0.269860825,661116.0157,396.6761508,499.6792407,14.48446511,1931.251204,0.048076702,1.14E+07
4,0.267686507,16.98657804,0.195579009,320168.562,104126.337,1.48E+08,565.7969153,1.81E-10,0.046021553,0.022383055,0.000702549,0.001857864,0.005165134,0.158515822,0.265354023,696164.544,407.7604121,548.3812376,17.41567775,1876.507642,0.054699554,1.25E+07
5,0.297336773,16.21980317,0.191967531,350959.9194,114131.0994,146794211.5,622.2455236,2.11E-10,0.051148046,0.024960987,0.000868512,0.001925897,0.00538211,0.155421592,0.260292856,730979.7068,417.2125733,601.1002839,21.14523968,1817.299888,0.062860498,13695731.76
6,0.326987038,15.4530283,0.188356052,381751.2769,124135.8617,1.45E+08,678.6941318,2.41E-10,0.056274539,0.027538919,0.001034476,0.001993929,0.005599086,0.152327362,0.255231689,765794.8696,426.6647345,653.8193302,24.87480161,1758.092134,0.071021443,1.49E+07
7,0.359874863,14.80062575,0.184602633,414650.7738,134835.9038,1.44E+08,739.7137617,2.79E-10,0.061976006,0.030432655,0.001249406,0.002057406,0.005794931,0.148889204,0.249600392,799834.5939,434.2038573,710.169988,29.54377375,1694.819945,0.081139597,1.62E+07
8,0.394889392,14.21670474,0.180779263,448747.1576,145938.7722,1.42E+08,803.5403211,3.25E-10,0.068061489,0.033542586,0.001504101,0.002116832,0.005971838,0.145218581,0.243584571,832981.9305,440.2987168,768.5998891,34.94043196,1629.18282,0.092937623,1.75E+07
9,0.431958793,13.69608737,0.176906262,483844.7595,157389.1544,1.41E+08,869.9372986,3.79E-10,0.074525497,0.036870255,0.001804697,0.002171419,0.006126091,0.141315908,0.237186135,864952.6328,444.8413716,828.7918226,41.14547597,1561.490574,0.106810625,1.89E+07
10,0.470965786,13.2340903,0.173004833,519717.7679,169125.3146,1.39E+08,938.6266301,4.44E-10,0.081357362,0.040414687,0.00215799,0.002220365,0.006254016,0.137183991,0.230411589,895466.0438,447.7419175,890.3842279,48.24240222,1492.085079,0.123291212,2.03E+07
11,0.51174151,12.82652048,0.169096536,556111.6853,181080.6932,1.37E+08,1009.292681,5.24E-10,0.088541179,0.044172135,0.002571458,0.002262872,0.006352078,0.132828057,0.223272221,924248.5647,448.9299163,952.9761159,56.31656501,1421.330443,0.143114834,2.17E+07
12,0.554058957,12.46968675,0.165202723,592744.6879,193185.8092,1.35E+08,1081.58661,6.23E-10,0.096056009,0.04813586,0.003053256,0.002298155,0.00641697,0.128255653,0.215784097,951035.1806,448.3546107,1016.132543,65.45406712,1349.60161,0.167324404,2.32E+07
13,0.597625715,12.16043174,0.161343982,629308.3698,205370.3836,1.34E+08,1155.130375,7.48E-10,0.103876405,0.052295969,0.003612209,0.002325447,0.00644569,0.123476428,0.207967852,975568.2779,445.9837707,1079.389938,75.74043687,1277.271879,0.19744944,2.46E+07
14,0.642075584,11.89618957,0.157539601,665467.2429,217565.5867,1.32E+08,1229.519445,9.09E-10,0.111973306,0.056639292,0.004257779,0.00234401,0.006435608,0.118501762,0.199848242,997592.9718,441.8010956,1142.260434,87.25901118,1204.699963,0.235811894,2.61E+07
15,0.686958421,11.6750779,0.153807104,700856.2843,229706.3031,1.30E+08,1304.323158,1.12E-09,0.12031535,0.061149294,0.005000022,0.00235313,0.006384497,0.113344253,0.191453453,1.02E+06,435.8021959,1204.234268,100.0888903,1132.217233,0.28614418,2.76E+07
16,0.731727304,11.49603576,0.150161845,735075.7763,241733.3065,1.29E+08,1379.081496,1.40E-09,0.128870615,0.065805995,0.005849509,0.002352115,0.006290545,0.108017057,0.182814162,1.03E+06,427.9892798,1264.779238,114.3022587,1060.11582,0.350158367,2.90E+07
