temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.110097707,25.86247776,0.196961343,1.56E+06,575266.3887,1.59E+09,1960.789772,5.63E-09,0.215886948,0.006893937,0.000137555,0.000834312,0.00017082,0.099464629,0.176611794,412071.742,2060.35412,1922.270878,38.51889366,13248.56729,2.006450663,6.90E+07
4,0.127806259,23.8286612,0.196465253,1.80E+06,660183.2908,1.58E+09,2255.171664,5.62E-09,0.215343517,0.008020923,0.000177969,0.000896604,0.000187564,0.099208365,0.176165053,448437.5105,2188.798203,2206.01113,49.16053408,13062.91418,2.30292271,7.92E+07
5,0.148140662,22.00109462,0.195800421,2.05E+06,755341.0108,1.56E+09,2586.449812,5.61E-09,0.214719278,0.009320381,0.00022979,0.000962452,0.000205753,0.098912474,0.175649867,486988.8298,2318.991182,2523.945791,62.50402125,12854.58171,2.635150677,9.06E+07
6,0.171443648,20.3608572,0.194950703,2.34E+06,861425.8548,1.54E+09,2957.497974,5.59E-09,0.214003175,0.010816414,0.000296093,0.001031872,0.000225464,0.098570879,0.175056097,527633.136,2449.722742,2878.345778,79.15219572,12621.94551,3.005487125,1.03E+08
7,0.198091224,18.89093738,0.19390061,2.66E+06,979034.5749,1.52E+09,3370.981933,5.57E-09,0.213182948,0.012535969,0.000380737,0.001104837,0.000246764,0.098176562,0.174372178,570220.1733,2579.565657,3271.167919,99.81401437,12363.5401,3.415932829,1.17E+08
8,0.228492379,17.57605014,0.192635468,3.01E+06,1.11E+06,1.50E+09,3829.235673,5.54E-09,0.212245109,0.014509035,0.000488545,0.001181258,0.000269701,0.09772141,0.173584936,614534.007,2706.87495,3703.921752,125.3139203,12078.13218,3.867982944,1.33E+08
9,0.263087248,16.40247988,0.191141622,3.40E+06,1.25E+06,1.47E+09,4334.124061,5.51E-09,0.21117497,0.016768797,0.00062553,0.001260973,0.000294301,0.097196029,0.172679394,660285.8276,2829.79615,4177.525049,156.5990117,11764.79725,4.362454197,1.50E+08
10,0.302343073,15.35794823,0.189406687,3.82E+06,1.40E+06,1.45E+09,4886.897125,5.48E-09,0.209956737,0.019351732,0.000799152,0.001343728,0.000320556,0.09658954,0.17163855,707108.0172,2946.283945,4692.154203,194.7429219,11422.99439,4.899296536,1.69E+08
11,0.346747042,14.43150717,0.187419881,4.27E+06,1.57E+06,1.42E+09,5488.042625,5.44E-09,0.208573705,0.022297618,0.001018636,0.001429154,0.00034841,0.095889316,0.170443156,754549.8627,3054.131739,5247.097403,240.9452215,11052.63244,5.477393398,1.89E+08
12,0.399860028,13.66340769,0.185038934,4766079.697,1755340.085,1386560372,6160.398708,5.39E-09,0.20690888,0.025875319,0.001330874,0.001517482,0.000378386,0.095017961,0.168971093,801805.4679,3144.326529,5858.472054,301.9266538,10640.50998,6.111933411,210640793.9
13,0.452973013,12.89530822,0.182657987,5.26E+06,1.94E+06,1.35E+09,6832.754792,5.34E-09,0.205244054,0.02945302,0.001643113,0.00160581,0.000408362,0.094146606,0.16749903,849061.0731,3234.521319,6469.846705,362.9080861,10228.38753,6.746473423,2.33E+08
14,0.515733818,12.26974551,0.179873177,5.80E+06,2.14E+06,1.32E+09,7572.283089,5.28E-09,0.203263428,0.033756667,0.002078881,0.001695475,0.000439956,0.093067208,0.16569838,894798.9948,3302.238114,7130.678679,441.6044104,9776.883949,7.427649438,2.57E+08
15,0.660694208,11.7715446,0.176684665,6360000,2350000,1285000000,8369.384572,5.205E-09,0.200930432,0.038910301,0.002689477,0.001783615,0.000472052,0.091721669,0.163492452,937030.496,3341.514395,7827.481725,541.9028471,9290.744219,8.136909744,282500000
16,0.662405461,11.27334369,0.173496153,6.92E+06,2.56E+06,1.25E+09,9166.486055,5.13E-09,0.198597435,0.044063934,0.003300072,0.001871754,0.000504147,0.090376129,0.161286524,979261.9971,3380.790676,8524.284771,642.2012838,8804.604489,8.84617005,3.08E+08
17,0.746641239,10.89444061,0.169915378,7.50E+06,2.79E+06,1.21E+09,10009.49219,5.03E-09,0.195893673,0.050166901,0.004139062,0.001955158,0.000535319,0.088706121,0.15860376,1.02E+06,3387.087919,9242.291342,767.2008504,8288.670201,9.561236958,3.34E+08
18,0.837942413,10.59246909,0.166087242,8.07E+06,3.01E+06,1.17E+09,10872.88314,4.92E-09,0.192941353,0.056964883,0.00517425,0.00203262,0.000564538,0.086772849,0.155549503,1.05E+06,3368.554673,9962.307402,910.5757384,7756.358423,10.26068522,3.61E+08
19,0.935666544,10.36818358,0.162026822,8.63E+06,3.24E+06,1.13E+09,11746.92844,4.79E-09,0.189751825,0.064497626,0.006445467,0.002101475,0.000590443,0.084533973,0.152079185,1.07E+06,3323.186562,10673.43426,1073.494179,7210.217623,10.92549857,3.89E+08
