temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.189889807,17.62169648,0.20566082,2.08E+06,679639.8324,1.36E+09,3042.265121,9.12E-11,0.027081939,0.01302079,0.000290553,0.001490582,0.000526592,0.171616017,0.285973527,604776.7988,3023.885053,2975.620144,66.6449773,18778.20346,0.305756485,8.16E+07
4,0.21800337,16.49350141,0.202226435,2.36E+06,769406.7487,1.35E+09,3452.555486,1.08E-10,0.03109395,0.014986489,0.000371859,0.001580894,0.000564355,0.169289784,0.28211267,647871.0939,3162.229589,3368.645206,83.91028055,18264.50934,0.355704381,9.23E+07
5,0.249529805,15.49512947,0.198533342,2.66E+06,867150.6835,1.33E+09,3901.651345,1.27E-10,0.035594582,0.017201928,0.000474255,0.001671968,0.000602335,0.166677365,0.277777566,691461.4662,3292.675856,3796.554565,105.0967806,17704.53204,0.413701173,1.04E+08
6,0.284700316,14.61531007,0.19459269,2.98E+06,972726.6648,1.31E+09,4389.588588,1.50E-10,0.040617995,0.019687511,0.000602633,0.00176288,0.000639944,0.163756705,0.272932332,735055.2813,3412.759447,4258.67421,130.9143782,17098.91634,0.481214238,1.17E+08
7,0.323713818,13.84392634,0.19042189,3.32E+06,1.09E+06,1.29E+09,4915.598019,1.78E-10,0.046194431,0.022462484,0.000762818,0.001852563,0.000676486,0.160507262,0.267543956,778102.3609,3519.990225,4753.450017,162.1480018,16449.38913,0.560099426,1.30E+08
8,0.366721901,13.17157546,0.186060351,3.69E+06,1.21E+06,1.27E+09,5478.047159,0,0.052348471,0.02554411,0.000961683,0.001939849,0.000711183,0.156910733,0.26158397,820029.2892,3612.041974,5278.394857,199.6523025,15758.83601,0,1.45E+08
9,0.413811634,12.5908494,0.181505228,4.08E+06,1.33E+06,1.25E+09,6074.366602,0,0.059097098,0.028946714,0.001207259,0.002023294,0.000743129,0.152952682,0.255029823,860174.0914,3686.468993,5830.026274,244.3403278,15031.25798,0,1.60E+08
10,0.464986561,12.09441722,0.176797278,4.48E+06,1.46E+06,1.23E+09,6701.11108,3.04E-10,0.0664479,0.032680702,0.001508822,0.002101445,0.000771393,0.148622626,0.247867112,897912.3957,3741.306607,6403.93801,297.1730701,14271.73816,0.893239094,1.76E+08
11,0.520146152,11.67534857,0.17200252,4.89E+06,1.60E+06,1.21E+09,7354.056059,3.66E-10,0.0743974,0.036751547,0.001876967,0.002172846,0.00079503,0.143914987,0.240091223,932673.7171,3775.113337,6994.910179,359.1458803,13486.33145,1.05141509,1.92E+08
12,0.579063998,11.32817641,0.167159828,5.31E+06,1.74E+06,1.19E+09,8028.24284,0,0.082929706,0.04115876,0.002323649,0.002235894,0.00081308,0.138830456,0.231708456,963881.0688,3786.685266,7596.974926,431.2679139,12681.75825,0,2.08E+08
13,0.641364962,11.04885954,0.162284439,5.73E+06,1.88E+06,1.16E+09,8718.05069,5.46E-10,0.09201584,0.045894978,0.002862185,0.002288867,0.000824608,0.13337651,0.222737011,990953.2723,3775.066346,8203.512664,514.5380263,11865.06378,1.488667003,2.25E+08
14,0.706501118,10.83297369,0.157449024,6.15E+06,2.02E+06,1.14E+09,9417.583054,6.79E-10,0.101614164,0.050945332,0.003507211,0.002330299,0.000828833,0.127566177,0.213207984,1.01E+06,3740.214456,8807.646047,609.9370073,11043.50929,1.800836102,2.42E+08
15,0.773725116,10.67803394,0.152684943,6.56E+06,2.16E+06,1.12E+09,10120.53527,8.59E-10,0.111671612,0.056286811,0.004274583,0.002358628,0.000825067,0.121419041,0.203164257,1.03E+06,3682.189748,9402.14848,718.3867869,10223.98334,2.215077053,2.59E+08
16,0.841991002,10.61259662,0.148098299,6939383.249,2291773.75,1095224135,10815.45721,1.17E-09,0.12229234,0.061997768,0.005259705,0.002364458,0.000808381,0.114817234,0.192460113,1040296.619,3590.401899,9967.432781,848.0244258,9419.64441,2.924349289,275012842.2
17,0.910256887,10.54715929,0.143511656,7.32E+06,2.43E+06,1.07E+09,11510.37915,1.49E-09,0.132913068,0.067708724,0.006244827,0.002370289,0.000791695,0.108215428,0.181755968,1.05E+06,3498.61405,10532.71708,977.6620647,8615.305482,3.633621524,2.91E+08
18,0.974918445,10.60849165,0.139246416,7645437.76,2553863.689,1052045833,12170.85402,2.37E-09,0.144072568,0.073756279,0.007580244,0.002341716,0.00075714,0.1011022,0.170389851,1046436.153,3363.926606,11033.47098,1137.383044,7846.251196,5.554318442,306463627.9
19,1.039580002,10.66982402,0.134981177,7.97E+06,2.68E+06,1.03E+09,12831.3289,3.24E-09,0.155232068,0.079803834,0.008915661,0.002313143,0.000722585,0.093988972,0.159023734,1.04E+06,3229.239161,11534.22487,1297.104023,7077.19691,7.475015359,3.22E+08
20,1.09629685,10.8448344,0.130991929,8.23E+06,2.80E+06,1.01E+09,13445.32525,5.94E-09,0.166670946,0.08595131,0.01055829,0.0022555,0.000674801,0.086558882,0.147330264,1.03E+06,3063.455271,11965.68599,1479.639261,6341.134258,13.32518949,3.36E+08
21,1.143121597,9.614497615,0.095586086,9883534.761,3334973.549,1118708382,17585.03984,0.05365123,0,0.096297076,0.013182809,0.002164062,0.061711626,0.079172564,0.134344196,1184102.669,3364.732205,15434.75685,2150.28299,6594.860099,87065098.69,168023229.4
22,1.189946344,8.38416083,0.060180244,1.15E+07,3.87E+06,1.23E+09,21724.75444,0.059584376,5.28E-09,0.106642842,0.015807328,0.002072624,0.12274845,0.071786246,0.121358129,1.34E+06,3666.009138,18903.82772,2820.926719,6848.58594,1.74E+08,11.29248389
23,1.243039861,8.531100614,0.055884084,1.20E+07,4.16E+06,1.21E+09,23263.54545,0.065517522,3.61E-09,0.116713328,0.018986375,0.001996909,0.118161236,0.06566619,0.112958437,1.32E+06,3455.918439,19989.87493,3273.670519,6129.623099,1.87E+08,6.930287325
24,1.271484258,8.869561287,0.051839708,1.23E+07,4.47E+06,1.18E+09,24715.74344,0.071982608,2.99E-09,0.127006096,0.022661274,0.001883164,0.113737732,0.058871738,0.103857385,1.27E+06,3181.903602,20952.54417,3763.199277,5365.280999,2.01E+08,5.317570137
25,1.263747646,9.498842698,0.048013176,1.24E+07,4.78E+06,1.16E+09,26021.58711,0.079113355,2.68E-09,0.137351188,0.026864587,0.001725065,0.10959749,0.051332289,0.094016022,1.19E+06,2837.63549,21741.79159,4279.795524,4554.371935,2.15E+08,4.476974336
26,1.201544009,11.10111644,0.200008385,7.729100821,2.126764984,3.01E+08,0.013196476,0.08766029,2.53E-09,0.147312059,0.031883545,0.001486213,0.106135137,0.042532829,0.082989927,15.76502568,0.025158666,0.010387962,0.002808515,0.005051114,0.317671286,254.3646747
