temp,mu,size,NC,phot,resp,totp,chlvol,CL,CP,PL,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu,NC2
3,0.260881143,19.87030831,0.188072208,313880.8025,102010.4508,1.49E+08,620.4112228,4.759853321,0.138288932,34.41962607,8.56E-09,0.189998536,0.024396536,0.000690457,0.001616651,0.002900038,0.10481058,0.175587194,594920.7952,356.958335,603.162587,17.24863582,1248.22566,0.615087087,1.22E+07,0.190800745
4,2.81E-01,1.90E+01,1.87E-01,3.35E+05,1.09E+05,1.48E+08,6.63E+02,4.83E+00,1.48E-01,3.27E+01,8.52E-09,1.89E-01,2.63E-02,8.10E-04,1.67E-03,3.05E-03,1.04E-01,1.75E-01,6.24E+05,3.65E+02,6.43E+02,2.00E+01,1.23E+03,6.56E-01,1.31E+07,0.188511182
5,0.300341756,18.12560026,0.185707276,355820.2926,115637.7472,1.47E+08,706.5008766,4.900851711,0.158194054,30.97999953,8.48E-09,0.188220096,0.028240531,0.000929404,0.001716957,0.003200792,0.103749167,0.173943044,652648.7357,372.9485751,683.7488297,22.75204681,1215.516786,0.697060454,1.39E+07,0.186142259
6,0.321805049,17.32721518,0.18441815,378105.1709,122885.0094,1.46E+08,752.6409067,4.96892983,0.168986026,29.40438306,8.43E-09,0.187248281,0.03035095,0.001076237,0.001767283,0.003359734,0.103162244,0.173035264,682963.1698,380.5147979,726.5816672,26.05923949,1198.044132,0.740522816,1.47E+07,0.183698961
7,0.345080932,16.59554205,0.183021504,401665.0064,130558.5719,144999382,801.9161853,5.03415204,0.180655967,27.9593088,8.38E-09,0.186188661,0.032664954,0.001256933,0.001817405,0.003527114,0.10251236,0.172032565,714727.8031,387.548379,771.8886146,30.0275707,1179.440404,0.786325922,15667026.53,0.181149194
8,0.368356816,15.86386893,0.181624859,425224.8419,138232.1344,1.44E+08,851.1914639,5.09937425,0.192325909,26.51423454,8.33E-09,0.185129041,0.034978958,0.001437629,0.001867528,0.003694495,0.101862475,0.171029866,746492.4365,394.5819602,817.195562,33.99590191,1160.836675,0.832129028,1.66E+07,0.178599427
9,0.394759608,1.52E+01,1.80E-01,450757.9585,146587.2215,1.43E+08,905.6871609,90.84980571,2.13E-06,4.26E+07,0,0.183914608,0.037662838,0.00165551,0.001916367,0.003875124,0.101091725,0.169848205,780643.9667,4.01E+02,8.66E+02,3.93E+01,1.14E+03,0.002569451,0.020312224,0.175950903
10,0.4211624,1.46E+01,1.78E-01,476291.0751,154942.3086,1.42E+08,960.1828578,3.10E-07,1.87E-08,16.53109939,9.87E-15,0.182657379,0.040453379,0.00187339,0.001964564,0.004058887,0.100283797,0.168612666,815415.1328,4.06E+02,9.16E+02,4.46E+01,1.12E+03,0,1.054257341,0.173242279
11,0.447565192,13.96423189,0.176899788,501824.1917,163297.3957,1.41E+08,1014.678555,5.278508914,0.231922123,22.75983357,8.14E-09,0.181485741,0.043030599,0.002198115,0.002014046,0.004236383,0.099550225,0.167484882,848947.0271,412.3541177,964.7357495,49.94280525,1099.334436,0.979825369,1.96E+07,0.170478251
12,0.476498885,13.40076927,0.175184574,528756.0209,172164.9294,1.39E+08,1073.277299,5.33334825,0.246387297,21.64619815,8.06E-09,0.180142923,0.04603446,0.00252571,0.002060956,0.004426411,0.098667942,0.16614159,884957.4649,417.2030149,1016.720469,56.55682975,1077.311922,1.031247373,2.07E+07,0.167663778
