temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.261195597,36.21986467,0.197527575,314319.3008,102422.0582,1.49E+08,692.714606,8.01E-09,0.189558843,0.027119898,0.000768794,0.000882997,0.001587931,0.105022579,0.17505895,326375.0367,195.8281948,673.486543,19.228063,1256.2772,0.57825296,1.23E+07
4,2.81E-01,3.34E+01,0.200002524,0.001353436,0.000181837,3.34E+07,0.000292197,5.97E-06,5.23E-06,5.22E-06,5.22E-06,0.497993455,5.23E-06,5.27E-06,0.001974407,0.074432676,2.08E+02,0.000288738,3.46E-06,0.000316261,0.000588466,0.02025125
5,0.300412056,30.67106956,0.192143968,356286.8955,116099.8012,1.48E+08,788.777759,7.89E-09,0.187601528,0.031362168,0.001033833,0.001009285,0.001884437,0.103861049,0.173247693,385694.0855,220.4003913,763.4163847,25.36137432,1223.313554,0.652471821,1.39E+07
6,0.321694055,28.2633096,0.18931905,378577.4561,123371.0541,1.47E+08,840.2456635,7.83E-09,0.186528213,0.033687029,0.001196482,0.001077169,0.002049764,0.103215504,0.172245831,418700.0741,233.2798592,811.1989676,29.04669595,1205.660426,0.691341422,1.48E+07
7,0.344125332,26.06892261,0.186413734,401718.5011,130926.7232,1.46E+08,894.029399,1.17E-13,0.185388604,0.036155829,0.001382874,0.001148226,0.002227213,0.102522688,0.171174565,454105.9343,246.5191911,860.8234394,33.20595958,1187.2166,1.10E-05,1.57E+07
8,0.367724005,24.06785585,0.183430295,425684.0775,138761.497,1.45E+08,950.1325068,1.12E-13,0.184180446,0.03877463,0.00159616,0.001222426,0.002417346,0.101779361,0.170029631,492036.2749,260.0812371,912.242733,37.88977374,1167.972813,1.12E-05,1.67E+07
9,0.392501087,22.24174052,0.180376315,450442.5452,146869.1967,1.44E+08,1008.552918,1.06E-13,0.182901851,0.041549432,0.001839858,0.001299719,0.002620634,0.100981897,0.16880661,532623.1908,273.9258244,965.4001399,43.15277766,1147.925284,1.14E-05,1.76E+07
10,0.41845888,20.57424628,0.177256802,475952.4409,155241.7545,1.43E+08,1069.274844,7.70E-09,0.181551211,0.044486112,0.002117882,0.001380013,0.002837511,0.100126463,0.1675008,575995.7543,288.0035637,1020.221508,49.05333625,1127.068406,0.879684434,1.86E+07
11,0.445589188,19.05046006,0.174080493,502165.5163,163870.4963,1.41E+08,1132.276325,7.42E-09,0.180127458,0.047590382,0.00243458,0.001463184,0.003068281,0.099208795,0.166107313,622289.0741,302.260845,1076.622358,55.65396675,1105.401152,0.902029088,1.97E+07
12,0.473871131,17.65719876,0.170852662,529021.0724,172744.79,1.40E+08,1197.518032,7.52E-09,0.178629967,0.050867712,0.002794771,0.001549051,0.003313176,0.098224388,0.164620929,671630.3627,316.6323901,1134.497295,63.02073674,1082.918278,0.971073247,2.07E+07
13,0.5032687,16.38253367,0.16757995,556447.9916,181853.191,1.39E+08,1264.948989,7.42E-09,0.177058826,0.054323279,0.003203777,0.001637382,0.00357226,0.097168302,0.163036165,724145.0986,331.0449346,1193.725515,71.22347395,1059.615119,1.017442035,2.18E+07
14,0.53372786,15.21574576,0.164269045,584362.6842,191183.4278,1.38E+08,1334.503654,7.31E-09,0.175414939,0.057961894,0.003667469,0.001727883,0.003845411,0.096035163,0.161347234,779952.2486,345.4151601,1254.168206,80.33544779,1035.485386,1.063934697,2.29E+07
15,0.565173187,14.14721103,0.160926602,612667.5361,200722.6792,1.37E+08,1406.100347,7.19E-09,0.173700187,0.061787932,0.004192298,0.001820186,0.004132262,0.094819105,0.159548023,839160.5782,359.6485779,1315.66733,90.43301639,1010.520222,1.11025851,2.41E+07
16,0.597881385,1.32E+01,0.195851428,2926.218823,701.2952337,3.39E+07,5.640103669,1.42E-06,0.129274927,0.055998908,0.00407285,0.001399065,0.06965435,0.079209308,0.160389172,100360.1802,3.73E+02,5.217880964,0.422222706,3.59804788,0.651458829,84153.69082
17,0.630589583,12.27128598,0.154173137,669975.451,220376.2619,1.34E+08,1554.999978,6.94E-09,0.170071647,0.070017161,0.00545432,0.002008308,0.004744044,0.092111994,0.155592519,968133.591,387.2630608,1441.097376,113.9026023,958.0288205,1.200999377,2.64E+07
18,6.64E-01,1.15E+01,0.2,5.13E-12,1.96E-12,3.34E+07,2.25E-14,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,7.34E-11,4.00E+02,2.25E-14,0,2.75E-16,0,2.36E-10
19,0.69832119,10.69613008,0.147369307,727227.9814,240714.5444,1.32E+08,1710.581287,6.65E-09,0.166215416,0.079034524,0.007054585,0.002196942,0.00539736,0.088988014,0.151113152,1.11E+06,412.8528787,1568.300761,142.2805258,901.975805,1.286294234,2.89E+07
20,0.73250464,10.00642604,0.143962631,755371.622,251113.9749,1.30E+08,1790.423771,6.49E-09,0.164223023,0.083843063,0.008004981,0.002289426,0.005734048,0.08724805,0.148657402,1.19E+06,424.4876501,1631.911757,158.5120135,872.5311243,1.325592032,3.01E+07
