temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.26032217,19.84362017,0.190829826,314566.647,102361.5218,1.50E+08,675.9833386,1.40E-13,0.189237328,0.026435599,0.000112171,0.001609921,0.002885383,0.104716631,0.175002966,595720.9155,357.4385065,673.6365117,2.346826912,1254.004196,1.01E-05,1.23E+07
4,0.279438867,18.94643427,0.188540251,335182.0569,109068.7961,1.49E+08,720.3948693,1.36E-13,0.188375697,0.028394111,0.0001286,0.001659554,0.003031724,0.104202442,0.174207873,624151.9201,365.5809375,717.7809807,2.613888608,1238.102881,1.05E-05,1.31E+07
5,0.299692649,18.10029261,0.186170359,356694.3774,116071.6871,1.48E+08,766.7642532,8.16E-09,0.187467275,0.030472462,0.000147565,0.001709431,0.003183922,0.103655641,0.173363694,653561.2629,373.4700278,763.8563167,2.907936568,1221.472658,0.674858039,1.39E+07
6,0.321122696,17.30198316,0.183724848,379097.1379,123369.99,1.47E+08,815.0849982,8.10E-09,0.186511206,0.032675593,0.000169487,0.001759443,0.003342008,0.103074216,0.172468039,683959.1562,381.069714,811.8537027,3.231295556,1204.109442,0.715976839,1.48E+07
7,0.034472165,1.72E+07,0.199998692,0.234156318,0.028560992,3.34E+07,0.002835451,4.74E-10,0.019318039,0.054772003,0.043198826,0.000831984,0.000419893,0.333800925,0.04765833,0.688880147,0.00037397,864.5014479,3.64071366,0.008091905,9.25E-08,3.427318791
8,0.226527146,1540.557461,0.199983408,7.610681802,7.384425276,3.35E+07,0.255521879,0.053213056,0.095856357,0.065398443,0.06993034,0.053455862,0.049112157,0.049112168,0.063921617,86.35108723,0.04561253,918.2465253,4.075183037,0.09544022,0.000488925,886.1297293
9,0.226908473,218110.7015,0.200026953,14.53451389,3.68270544,3.34E+07,0.052888599,1.33E-09,0.108416429,0.051507344,0.02224965,0.003133156,0.005343052,0.180587311,0.128763055,54.31400956,0.027933462,973.2155076,4.540011618,0.086839345,6.05E-06,441.9246367
10,0.41928088,14.53247155,0.17323966,477241.0966,155461.8362,1.42E+08,1027.313652,7.84E-09,0.182201947,0.04283283,0.000297995,0.001957971,0.004033634,0.100357921,0.168317694,815462.0124,407.7390871,1022.444684,4.868967973,1127.234951,0.893571722,1.87E+07
11,0.447057457,13.93376761,0.170461288,503755.3069,164185.3561,1.41E+08,1084.860349,7.76E-09,0.181004907,0.045731704,0.000344068,0.002006377,0.004221053,0.099568091,0.167123792,850803.1333,413.2556731,1079.481758,5.378591168,1106.147741,0.940720694,1.97E+07
12,0.476155782,13.36821862,0.167628449,530969.1989,173175.657,1.40E+08,1144.056952,7.68E-09,0.179762493,0.048783243,0.000397695,0.002053888,0.00441395,0.09872772,0.165861002,887112.2723,418.2188737,1138.122454,5.934497363,1084.307802,0.98867571,2.08E+07
13,0.506572306,12.83395295,0.164745625,558819.4958,182424.498,1.39E+08,1204.804574,7.60E-09,0.178477216,0.051991524,0.000460171,0.002100263,0.004612017,0.097833047,0.164525754,924370.8073,422.5786895,1198.264517,6.540056686,1061.710571,1.03723924,2.19E+07
14,0.53829001,12.32926183,0.161817375,587230.9567,191923.0923,1.37E+08,1266.987869,7.33E-09,0.177152513,0.055360373,0.000533013,0.002145232,0.004814836,0.096879836,0.16311419,962551.9576,426.2825717,1259.789081,7.198787746,1038.348981,1.059982047,2.30E+07
15,0.571275336,11.85263363,0.158848288,616114.7423,201662.3849,1.36E+08,1330.473702,7.23E-09,0.175792906,0.058893348,0.000618002,0.002188495,0.005021835,0.095863299,0.161622107,1.00E+06,429.274914,1322.559352,7.91434986,1014.212411,1.107157972,2.42E+07
16,0.6054743,11.40260223,0.155842757,645366.3845,211633.3543,1.35E+08,1395.10938,7.31E-09,0.17440417,0.062593701,0.000717222,0.002229716,0.005232323,0.094777973,0.160044888,1.04E+06,431.4962397,1386.418848,8.690531482,989.2852799,1.184018415,2.54E+07
17,0.640808207,10.97806978,0.152805199,674863.349,221827.4263,1.33E+08,1460.720664,7.19E-09,0.172993583,0.066464376,0.000833111,0.002268517,0.005445318,0.093617651,0.158377438,1.08E+06,432.882642,1451.189432,9.531232543,963.546063,1.232220752,2.66E+07
18,0.677167839,10.57800445,0.149739662,704461.9732,232236.8547,1.32E+08,1527.1089,7.08E-09,0.171570115,0.070507988,0.000968519,0.002304474,0.005659624,0.092375203,0.156614069,1.12E+06,433.3645315,1516.668459,10.44044079,936.9654815,1.27936709,2.79E+07
19,0.714406848,10.20161412,0.14664989,733993.7829,242855.2073,1.30E+08,1594.047628,6.95E-09,0.170144728,0.074726825,0.001126778,0.002337107,0.00587371,0.091042443,0.154748402,1.17E+06,432.8656309,1582.625429,11.42219822,909.5051602,1.324934447,2.91E+07
20,0.025237678,5745.5547,0.199871549,72.91332732,25.21877812,3.35E+07,0.425775692,0.000270841,0.007110401,0.00960675,0.095407522,0.380089259,0.000357848,0.007157711,0,1980.438338,2.357906152,1648.75518,12.52085612,0.246075027,11.25448013,2996.241428
21,0.790700785,9.517872139,0.140410412,792031.2425,264702.5592,1.27E+08,1728.504444,6.47E-09,0.167343851,0.083697781,0.001528036,0.002390147,0.006292979,0.088066842,0.150680358,1.25E+06,428.5790205,1714.88493,13.61951402,851.7369302,1.366605974,3.18E+07
22,0.829194021,9.210216951,0.137265741,820031.074,275929.9038,1.26E+08,1795.385894,6.51E-09,0.166003196,0.088453035,0.00178085,0.00240923,0.006492689,0.086400567,0.148460427,1.29E+06,424.5932571,1780.542953,14.84294101,821.293081,1.445284894,3.31E+07
23,0.867416224,8.925722873,0.134106767,846938.7767,287363.9344,1.24E+08,1861.529944,6.34E-09,0.164731152,0.093389902,0.002076362,0.002422313,0.00668098,0.084596598,0.146102688,1.33E+06,419.227817,1845.375474,16.1544699,789.6952151,1.477069036,3.45E+07
24,0.904869881,8.665166725,0.130934366,872375.9792,299012.5892,1.22E+08,1926.482443,6.15E-09,0.163554176,0.098509595,0.00242173,0.002428469,0.006853148,0.082638122,0.143594754,1.37E+06,412.3528358,1908.925081,17.55736253,756.8389201,1.50282002,3.59E+07
25,0.940934877,8.429852578,0.127748703,895898.5222,310888.0987,1.20E+08,1989.717006,5.95E-09,0.162503336,0.103813396,0.002825281,0.002426637,0.007003383,0.080505663,0.140922298,1.41E+06,403.8243996,1970.662669,19.0543364,722.6048039,1.521243033,3.73E+07
26,0.974841462,8.221755967,0.124549253,916986.8365,323007.2177,1.19E+08,2050.623239,5.52E-09,0.161614994,0.109302827,0.003296701,0.002415591,0.007124535,0.078176648,0.138068699,1.45E+06,393.4844881,2029.975893,20.64734573,686.8596822,1.472372762,3.88E+07
27,1.005637174,8.043734409,0.121334876,935036.4587,335391.2176,1.17E+08,2108.494453,5.27E-09,0.160931571,0.114979877,0.003847259,0.002393917,0.007207858,0.075624888,0.135014625,1.48E+06,381.1619866,2086.157144,22.33730883,649.4591922,1.467498717,4.02E+07
28,1.0321462,7.899843933,0.118103972,949349.6411,348065.5219,1.15E+08,2162.515725,5.23E-09,0.160502447,0.120847273,0.004490068,0.002359986,0.007242715,0.072819968,0.131737539,1.51E+06,366.6752279,2138.391952,24.12377358,610.2522704,1.515425393,4.18E+07
29,1.052919291,7.795830572,0.114854734,959129.5318,361058.8578,1.13E+08,2211.753847,4.94E-09,0.160384979,0.12690881,0.005240401,0.002311908,0.007216281,0.069726508,0.128211108,1.53E+06,349.8366396,2185.749331,26.00451537,569.0880072,1.486481031,4.33E+07
30,1.066171689,7.739922932,0.111585531,963478.9663,374401.7628,1.10E+08,2255.151307,4.63E-09,0.160645668,0.133169742,0.00611606,0.002247497,0.00711327,0.066303263,0.124404495,1.54E+06,330.4601308,2227.176243,27.97506493,525.8253664,1.44026051,4.49E+07
