temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.259481493,19.89283472,0.190712781,314098.7872,102210.7487,1.50E+08,696.1056466,8.27E-09,0.188621029,0.027173892,0.000926818,0.001603069,0.002863879,0.104380766,0.174430538,594247.114,356.5541188,672.6385994,23.46704719,1252.218986,0.598624107,1.23E+07
4,0.27842699,18.99861136,0.188420999,334626.877,108889.9835,1.49E+08,742.734434,8.22E-09,0.187687649,0.029215592,0.00104237,0.001651659,0.003006436,0.103827628,0.173568657,622437.7743,364.5768312,716.5970842,26.13734975,1236.141836,0.637257574,1.31E+07
5,0.009338974,9.35E+07,0.19999212,0.127477096,0.014077994,3.34E+07,0.01710992,1.36E-15,0.005867183,0.175462087,0.132160794,8.54E-05,8.73E-06,0.170428189,0.015987615,0.126540604,7.23E-05,763.3989607,29.22399542,0.00778292,4.35E-13,1.689359276
6,0.319664238,17.3604886,0.183605613,378321.7247,123120.5131,1.47E+08,842.5114783,8.12E-09,0.185656423,0.033688414,0.001316344,0.001749014,0.003307161,0.102609018,0.171673619,681654.1907,379.7854955,810.2008373,32.31064109,1201.758742,0.719444617,1.48E+07
7,0.342019204,16.61060922,0.181088008,401463.2371,130668.1084,1.46E+08,895.6653043,8.07E-09,0.184555568,0.036130598,0.001478114,0.001797495,0.003465228,0.101938801,0.170634188,712680.2117,386.8905885,859.8042001,35.86110416,1183.441049,0.762980766,1.57E+07
8,0.365567114,15.90317948,0.178501754,425439.8837,138499.2216,1.45E+08,950.9825381,7.86E-09,0.183396288,0.038717272,0.001658958,0.001845631,0.003628292,0.101224502,0.16952905,744647.2062,393.6066048,911.2276462,39.75489196,1164.36715,0.79288349,1.66E+07
9,0.390327813,15.2356693,0.175850758,450221.969,146608.6651,1.44E+08,1008.439116,7.80E-09,0.182177782,0.041453817,0.001861063,0.001893238,0.003796183,0.100463239,0.168354671,777548.1732,399.8896165,964.4196331,44.019483,1144.53434,0.838902908,1.76E+07
10,0.416314203,14.6057197,0.173139238,475771.7566,154989.9799,1.43E+08,1067.998916,7.75E-09,0.18089966,0.044345487,0.002086863,0.001940116,0.003968664,0.099651871,0.167107331,811372.4443,405.6942617,1019.31502,48.68389591,1123.940539,0.88650008,1.86E+07
11,12.47808784,6.87E+11,0.199999989,0.006351391,0.002593615,3.34E+07,6.81E-05,0.046791817,0.046841943,0.046842288,0.046842297,0.17193086,0.046933041,0.046842302,0.046975454,1.73E-05,5.27E-09,1076.598864,54.00994719,5.95E-05,0.105270226,0.030513199
12,0.471971047,13.4498947,0.167552802,528978.3256,172536.6051,1.40E+08,1193.218707,7.63E-09,0.178165601,0.050614325,0.002620704,0.002030775,0.004326048,0.097864724,0.164377815,881725.1783,415.6791893,1133.882708,59.33599846,1080.461464,0.986309557,2.07E+07
13,0.501616608,12.9201224,0.164687469,556511.4904,181683.6478,1.39E+08,1258.738831,7.70E-09,0.176711791,0.054000979,0.002935127,0.002074042,0.004510028,0.096880981,0.162887044,918205.8097,419.7603427,1193.349406,65.38942522,1057.569768,1.056813841,2.18E+07
14,0.532433106,12.42011646,0.161780657,584562.6925,191066.4189,1.38E+08,1326.080347,7.63E-09,0.175202868,0.05756164,0.003286085,0.002115546,0.004696712,0.095831089,0.161306052,955510.776,423.1642632,1254.106272,71.97407448,1033.902537,1.110801314,2.29E+07
15,0.564367682,11.94833805,0.158837365,613038.6466,200674.2922,1.37E+08,1395.133089,7.55E-09,0.173642093,0.061300274,0.003677756,0.002154957,0.004885291,0.094709868,0.159629754,993592.7269,425.8353286,1316.006658,79.1264311,1009.45033,1.166033701,2.41E+07
16,0.597344986,11.50341995,0.15586254,641830.2856,210496.5668,1.35E+08,1465.767987,7.36E-09,0.172033884,0.065220456,0.004114795,0.00219191,0.005074768,0.09351152,0.157852659,1.03E+06,427.7145397,1378.88374,86.88424637,984.1992242,1.20293906,2.53E+07
17,0.631262574,11.08417532,0.152860992,670810.3635,220522.835,1.34E+08,1537.834847,7.40E-09,0.170384007,0.069325333,0.004602399,0.002226,0.005263919,0.092229529,0.155968805,1.07E+06,428.7387829,1442.548485,95.28636203,958.1295212,1.279731153,2.65E+07
18,0.665985389,10.68961032,0.14983731,699830.5245,230743.3963,1.33E+08,1611.159509,7.22E-09,0.168699786,0.073617591,0.00514637,0.002256776,0.005451243,0.090856546,0.15397168,1.11E+06,428.8399476,1506.787046,104.372463,931.2143514,1.318185231,2.77E+07
19,0.701339148,10.31894131,0.146795771,728717.7509,241149.7185,1.31E+08,1685.540258,7.24E-09,0.166990325,0.078099426,0.005753194,0.002283735,0.005634917,0.089384263,0.151854133,1.15E+06,427.9439126,1571.357519,114.1827389,903.4182335,1.396465364,2.89E+07
20,0.737102422,9.971618142,0.143740249,757270.0718,251734.9332,1.30E+08,1760.743267,7.15E-09,0.165266773,0.082772533,0.006430128,0.002306316,0.005812719,0.087803262,0.149608261,1.19E+06,425.9694082,1635.985842,124.7574251,874.6956052,1.455189114,3.02E+07
21,0.772997134,9.647355029,0.140674137,785251.4607,262494.3612,1.29E+08,1836.496944,7.06E-09,0.1635426,0.087638101,0.00718531,0.002323889,0.005981962,0.08610285,0.14722528,1.23E+06,422.8268028,1700.360752,136.1361918,844.9894328,1.513499391,3.15E+07
22,0.808677161,9.346171985,0.137600265,812385.8363,273426.0454,1.27E+08,1912.484967,6.88E-09,0.161833896,0.092696832,0.008027878,0.002335749,0.006139393,0.084270864,0.144695381,1.27E+06,418.4168668,1764.12763,148.357337,814.2299747,1.552203596,3.28E+07
23,0.84371468,9.068450597,0.134520837,838350.1557,284531.274,1.26E+08,1988.337907,6.85E-09,0.160159707,0.09794897,0.008968115,0.002341102,0.006281097,0.082293456,0.142007546,1.31E+06,412.6296173,1826.881173,161.4567334,782.3338525,1.625799886,3.41E+07
24,0.877583803,8.815010317,0.131437391,862766.6432,295815.0553,1.24E+08,2063.623301,6.73E-09,0.158542386,0.103394364,0.010017626,0.002339051,0.006402368,0.080154848,0.13914935,1.35E+06,405.3433777,1888.156832,175.4664689,749.2035994,1.677424529,3.55E+07
25,0.909640975,8.58721449,0.128350777,885194.3465,307286.5037,1.22E+08,2137.834283,6.59E-09,0.157007971,0.109032548,0.011189543,0.002328587,0.006497573,0.077837053,0.136106719,1.39E+06,396.4242589,1947.421171,190.4131118,714.7279396,1.723792737,3.69E+07
26,0.939101518,8.387121211,0.125261183,905120.3683,318959.0718,1.21E+08,2210.376922,6.44E-09,0.155586574,0.114862854,0.012498769,0.002308568,0.006560007,0.07531956,0.132863661,1.42E+06,385.7263226,2004.061397,206.3155246,678.7830839,1.762431923,3.83E+07
27,6.51E-05,1.35E+09,0.199999082,0.030655842,0.033305383,3.34E+07,0.052763707,1.23E-05,0.001028205,0.001262177,0.459951523,0.034831128,0.001390473,0.001060706,0.000463452,0.008866208,0,2055.309697,223.6616098,0.019054934,0,3.996645993
28,0.986214531,8.083178724,0.119071016,935006.5571,342982.7293,1.17E+08,2347.565691,5.99E-09,0.153226126,0.127096989,0.015599485,0.002234527,0.006553428,0.06958867,0.125700771,1.48E+06,358.3586553,2106.557996,241.007695,601.9459913,1.79179279,4.12E+07
