temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.256903208,10.94900554,0.182961979,313767.1904,101856.754,1.50E+08,690.5071973,8.13E-09,0.187306172,0.026860471,0.000758409,0.002902305,0.005133157,0.103406384,0.173633094,1.08E+06,647.8097864,671.2659391,19.24125819,1244.9114,0.59071439,1.22E+07
4,0.275764574,10.85438242,0.181161678,334290.4177,108526.6046,1.49E+08,737.310693,8.23E-09,0.186433124,0.028904853,0.000880407,0.002881219,0.005194113,0.102894431,0.172811846,1.09E+06,638.1251332,715.1930056,22.11768734,1229.159219,0.640044306,1.30E+07
5,0.295736175,10.76406986,0.179287045,355696.4351,115488.6489,1.48E+08,786.4017111,8.18E-09,0.185505247,0.031081922,0.001020718,0.002858765,0.005254126,0.102346257,0.171932956,1.10E+06,628.0075726,761.0238162,25.37789494,1212.67673,0.6799802,1.39E+07
6,0.316851811,10.67813628,0.17733931,377974.901,122741.709,1.47E+08,837.8073671,8.10E-09,0.184520286,0.033398065,0.001181871,0.002834864,0.005312924,0.101759256,0.170992726,1.11E+06,617.4544068,808.7421141,29.065253,1195.455159,0.719795666,1.47E+07
7,0.339141506,10.59665034,0.175320123,401109.0891,130283.2065,1.46E+08,891.5465647,8.03E-09,0.183476107,0.035859725,0.001366703,0.00280943,0.0053702,0.101130597,0.169987231,1.12E+06,606.4641787,858.3197917,33.22677298,1177.487074,0.761514557,1.56E+07
8,0.362630416,10.51968351,0.173231557,425075.2529,138109.1381,1.45E+08,947.6292352,7.78E-09,0.182370743,0.038473367,0.001578396,0.002782375,0.005425607,0.100457198,0.168912306,1.13E+06,595.0366169,909.7160224,37.91321278,1158.766189,0.787241843,1.66E+07
9,0.387337559,10.44731342,0.171076091,449841.9352,146214.0801,1.44E+08,1006.05555,7.87E-09,0.181202458,0.041245439,0.001820509,0.002753602,0.005478757,0.0997357,0.167763527,1.13E+06,583.1725398,962.8763991,43.17915095,1139.287077,0.848100679,1.75E+07
10,0.413890056,10.38202341,0.168826191,475724.8634,154723.2593,143074381.7,1067.970703,7.7779E-09,0.179937129,0.044267851,0.002116428,0.00272205,0.005527606,0.098934518,0.166494411,1141509.194,570.6575869,1018.537587,49.43311623,1118.660692,0.892994509,18566788.73
11,0.440442552,10.3167334,0.166576291,501607.7916,163232.4385,1.42E+08,1129.885857,7.69E-09,0.1786718,0.047290263,0.002412346,0.002690497,0.005576454,0.098133337,0.165225295,1.15E+06,558.142634,1074.198775,55.68708151,1098.034307,0.937888338,1.96E+07
12,0.469431803,10.2612986,0.164212018,528788.4514,172250.5761,140746339,1196.347619,7.58189E-09,0.177274877,0.050666832,0.002796007,0.002654863,0.005617736,0.097211442,0.163778235,1155748.572,544.7693158,1132.872365,63.47525381,1075.859632,0.983593595,20670066.51
13,0.498421053,10.2058638,0.161847745,555969.1111,181268.7137,1.40E+08,1262.809381,7.48E-09,0.175877954,0.0540434,0.003179668,0.002619228,0.005659018,0.096289548,0.162331176,1.16E+06,531.3959976,1191.545955,71.26342611,1053.684956,1.029298852,2.18E+07
14,0.529166943,10.15826201,0.159407364,583936.8965,190642.1472,1.38E+08,1332.550342,7.36E-09,0.174382959,0.057699921,0.003643143,0.002580222,0.005692967,0.095264559,0.160736222,1.17E+06,517.3866906,1252.172128,80.37821426,1030.329815,1.074979697,2.29E+07
15,0.561009205,10.11622414,0.156921781,612303.1181,200236.851,1.37E+08,1404.375749,7.04E-09,0.172824501,0.06155001,0.004168487,0.002538784,0.005720961,0.094163064,0.159034187,1.17E+06,502.9568832,1313.898202,90.47754667,1006.17211,1.089858059,2.40E+07
16,0.59386207,10.0801047,0.15439526,640953.003,210040.6688,1.36E+08,1478.185839,7.11E-09,0.171205288,0.065598278,0.004763014,0.002494764,0.005742066,0.092978432,0.157218151,1.18E+06,488.1080298,1376.54622,101.6396191,981.1949797,1.164693545,2.52E+07
17,0.627610299,10.05036628,0.151832052,669752.9792,220041.4825,1.34E+08,1553.85877,6.97E-09,0.169529268,0.069848756,0.005434748,0.002448001,0.005755219,0.091703295,0.155280706,1.18E+06,472.8400694,1439.914535,113.9442357,955.3759644,1.207953314,2.64E+07
18,0.662103436,10.02761174,0.149236304,698547.8205,230227.6108,1.33E+08,1631.247076,6.82E-09,0.167801841,0.0743048,0.006192467,0.002398319,0.005759211,0.090329453,0.153213902,1.19E+06,457.1509227,1503.775275,127.4718005,928.6856948,1.24954781,2.76E+07
19,0.69714903,10.01262547,0.146611954,727157.2054,240588.2532,1.32E+08,1710.173176,6.66E-09,0.166030086,0.078968997,0.007045742,0.002345529,0.005752673,0.088847768,0.151009198,1.19E+06,441.0359842,1567.871188,142.3019879,901.0865175,1.288955508,2.89E+07
20,0.73250464,10.00642604,0.143962631,755371.622,251113.9749,1.30E+08,1790.423771,6.49E-09,0.164223023,0.083843063,0.008004981,0.002289426,0.005734048,0.08724805,0.148657402,1.19E+06,424.4876501,1631.911757,158.5120135,872.5311243,1.325592032,3.01E+07
21,0.767868424,10.01033411,0.141291537,782947.5423,261797.2225,1.29E+08,1871.742897,6.31E-09,0.162391888,0.088927752,0.009081465,0.002229788,0.005701571,0.085518925,0.146148605,1.19E+06,407.4949163,1695.568492,176.1744048,842.9612529,1.358805635,3.14E+07
22,0.802868059,10.02606111,0.138601343,809601.8241,272632.8582,1.28E+08,1953.823428,5.87E-09,0.16055043,0.094222763,0.010287382,0.002166373,0.005653247,0.083647696,0.143472103,1.19E+06,390.0431007,1758.469274,195.3541539,812.3065637,1.330336359,3.27E+07
23,0.837047722,10.05582614,0.135894072,835005.3562,283618.6918,1.26E+08,2036.296877,5.92E-09,0.158715226,0.099726656,0.011635863,0.002098921,0.005586828,0.081620185,0.140616316,1.18E+06,372.1137578,1820.191757,216.1051195,780.4838371,1.412001023,3.40E+07
24,0.869852814,10.10251343,0.133171006,858776.0087,294755.9775,1.25E+08,2118.72129,5.70E-09,0.156906024,0.105436782,0.013141004,0.002027146,0.005499783,0.079420562,0.137568693,1.18E+06,353.6848555,1880.255774,238.4655161,747.396646,1.430320712,3.54E+07
25,0.900612048,10.16988754,0.130432589,880471.1455,306049.8478,1.23E+08,2200.567392,5.47E-09,0.155146078,0.111349227,0.014817895,0.001950739,0.00538929,0.077031162,0.134315604,1.17E+06,334.7313391,1938.11504,262.4523524,712.9357849,1.441898852,3.67E+07
26,0.92851648,10.2628956,0.127678366,899580.0419,317509.6216,1.22E+08,2281.203035,5.23E-09,0.153462508,0.117458767,0.01668264,0.001869364,0.005252216,0.074432273,0.130842225,1.16E+06,315.2261777,1993.148379,288.0546562,676.9806964,1.445743817,3.81E+07
27,0.952594986,10.38810214,0.124906937,915516.867,329148.9251,1.20E+08,2359.876569,4.98E-09,0.151886657,0.123758856,0.018752379,0.001782659,0.005085125,0.071601921,0.127132398,1.15E+06,295.1420436,2044.651177,315.2253916,639.4022766,1.440820495,3.95E+07
28,0.971685594,10.55433499,0.122115971,927615.1714,340985.5403,1.18E+08,2435.700036,4.35E-09,0.150454448,0.130241621,0.021045303,0.001690228,0.004884292,0.068515615,0.123168488,1.13E+06,274.4537649,2091.827992,343.8720433,600.0674447,1.316547093,4.09E+07
29,0.984402012,10.77365348,0.119302482,935126.8401,353041.4701,1.17E+08,2507.638031,0,0.149206731,0.136897903,0.023580678,0.001591647,0.004645767,0.065146052,0.118931222,1.11E+06,253.1422977,2133.791394,373.8466369,558.8466499,0,4.24E+07
30,0.989094385,11.06303261,0.116462078,937217.6984,365339.5981,1.15E+08,2574.479246,0,0.148189551,0.14371726,0.026378868,0.001486453,0.004365512,0.061462894,0.114399461,1.08E+06,231.1966566,2169.547479,404.9317665,515.6202563,0,4.38E+07
31,0.98380356,11.4468785,0.113590537,932985.8733,377905.4876,1.13E+08,2634.856408,0,0.147454517,0.150688068,0.029461362,0.001374151,0.004039563,0.057432279,0.109550059,1.04E+06,208.6231158,2198.023834,436.8325735,470.2952989,0,4.53E+07
32,0.96620716,11.96182307,0.110683213,921473.8496,390762.7606,1.11E+08,2687.236065,0,0.147058964,0.157797523,0.032850814,0.001254207,0.003664425,0.053016484,0.104357583,998518.2479,185.4490884,2218.072432,469.1636327,422.8176066,0,4.69E+07
33,0.933556043,12.66556564,0.10773567,901700.5693,403930.4807,1.09E+08,2729.944483,0,0.147066096,0.165031636,0.036571079,0.001126047,0.003237669,0.048173388,0.098794085,943375.1582,161.7308894,2228.503182,501.4413013,373.1902604,0,4.85E+07
