temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.352133706,15.06429,0.183754671,411733.4495,133841.251,1.46E+08,906.5798836,3.87E-10,0.075732235,0.036732033,0.001038206,0.002197165,0.005326933,0.141653287,0.237320142,784720.6609,470.8401703,881.3430304,25.23685318,1637.284964,0.091270288,1.61E+07
4,0.37274634,14.60787541,0.181301274,432559.2263,140608.9902,1.45E+08,954.5240139,4.29E-10,0.080199182,0.038984485,0.001188536,0.002230381,0.005435306,0.139002901,0.232959207,809525.8911,474.1589022,925.9164841,28.60752985,1593.879264,0.100457981,1.69E+07
5,0.393955894,14.17900881,0.178837907,453671.6154,147475.566,1.44E+08,1003.475192,4.77E-10,0.084803997,0.041319113,0.001358055,0.002260945,0.00553592,0.136266187,0.228455781,834307.2665,476.7552818,971.1187109,32.356481,1549.816413,0.110796251,1.77E+07
6,0.415717863,13.77576912,0.176370145,475010.5183,154423.8677,1.43E+08,1053.343424,5.32E-10,0.089539534,0.043733928,0.001548807,0.00228867,0.005628093,0.133445929,0.223815039,859033.6908,478.6130059,1016.827596,36.51582765,1505.196948,0.122502338,1.85E+07
7,0.43798049,13.39634334,0.173903487,496512.3938,161436.3414,1.42E+08,1104.03463,5.95E-10,0.09439772,0.046226498,0.001762997,0.002313375,0.005711175,0.130545293,0.219042942,883677.8947,479.719626,1062.915475,41.11915447,1460.122926,0.135836671,1.94E+07
8,0.460684381,13.03902383,0.1714433,518110.4619,168495.2151,1.41E+08,1155.451441,6.67E-10,0.099369642,0.048793947,0.002002997,0.002334886,0.005784561,0.127567785,0.214146182,908216.6203,480.0663721,1109.249998,46.20144314,1414.696445,0.151139679,2.02E+07
9,0.483762073,12.70220695,0.168994753,539734.837,175582.7367,1.40E+08,1207.493925,7.52E-10,0.104445649,0.051432969,0.00227135,0.00235304,0.005847683,0.124517194,0.209132115,932630.5949,479.6478528,1155.694938,51.7989864,1369.018093,0.168851019,2.11E+07
10,0.507137522,12.38439324,0.166562763,561312.5591,182681.4188,1.39E+08,1260.060171,8.52E-10,0.109615487,0.054139835,0.002570779,0.00236768,0.005900021,0.121397524,0.204008672,956904.2466,478.4616285,1202.110892,57.94927868,1323.185361,0.189547477,2.19E+07
11,0.530725484,12.08418932,0.164151936,582767.4858,189774.2883,1.38E+08,1313.04669,9.70E-10,0.114868471,0.056910413,0.002904188,0.002378656,0.005941093,0.118212919,0.198784258,981025.1088,476.5076578,1248.355813,64.69087691,1277.291053,0.214014021,2.28E+07
12,0.554430742,11.80031161,0.161766523,604020.0061,196845.1364,1.37E+08,1366.348547,1.11E-09,0.120193678,0.059740182,0.003274665,0.002385827,0.005970458,0.114967567,0.193467622,1.00E+06,473.7876181,1294.285324,72.06322287,1231.421701,0.243323992,2.36E+07
13,0.578147131,11.53159224,0.159410374,624986.5344,203878.7649,1.36E+08,1419.859154,1.30E-09,0.125580181,0.062624242,0.003685487,0.002389055,0.005987701,0.111665605,0.188067728,1.03E+06,470.304106,1339.752739,80.10641519,1185.656019,0.281967953,2.45E+07
14,0.601756296,11.27698726,0.157086902,645578.7377,210861.2274,1.36E+08,1473.469648,1.45E-09,0.131017315,0.065557331,0.00414012,0.002388206,0.00599243,0.108311004,0.182593593,1.05E+06,466.0597237,1384.608733,88.86091483,1140.063423,0.31270712,2.53E+07
15,0.625126127,11.03558763,0.154799053,665702.4523,217780.0611,1.35E+08,1527.067765,1.71E-09,0.13649498,0.068533826,0.004642217,0.002383146,0.005984256,0.104907451,0.177054122,1.08E+06,461.0560611,1428.700602,98.36716349,1094.702633,0.364287506,2.61E+07
16,0.648108779,10.80663339,0.152549286,685256.2369,224624.507,1.34E+08,1580.536103,2.16E-09,0.142003978,0.071547737,0.005195619,0.002373735,0.005962778,0.10145822,0.171457931,1.10E+06,455.2925848,1471.871016,108.6650871,1049.620377,0.456149314,2.70E+07
17,0.670538205,10.58953154,0.150339555,704129.5195,231385.7171,1.33E+08,1633.749689,3.23E-09,0.147536388,0.074592684,0.005804341,0.002359828,0.005927561,0.097966041,0.165813154,1.12E+06,448.7654504,1513.956239,119.7934504,1004.850233,0.676330629,2.78E+07
18,0.692227105,10.38387853,0.148171314,722200.2793,238056.9434,1.32E+08,1686.572713,3.83E-09,0.153085985,0.077661857,0.006472567,0.002341264,0.005878106,0.094432961,0.160127256,1.14E+06,441.4662544,1554.783696,131.7890174,960.4116107,0.795736791,2.86E+07
19,0.712963184,10.18948803,0.146045516,739332.2567,244633.7126,1.31E+08,1738.854396,4.79E-09,0.158648681,0.08074795,0.00720463,0.002317865,0.005813834,0.090860206,0.154406828,1.17E+06,433.3807662,1594.168926,144.6854701,916.3089509,0.986565953,2.94E+07
20,0.73250464,10.00642604,0.143962631,755371.622,251113.9749,1.30E+08,1790.423771,6.49E-09,0.164223023,0.083843063,0.008004981,0.002289426,0.005734048,0.08724805,0.148657402,1.19E+06,424.4876501,1631.911757,158.5120135,872.5311243,1.325592032,3.01E+07
21,0.750574784,9.835054858,0.141922675,770143.1364,257498.2269,1.30E+08,1841.083386,1.00E-08,0.169810715,0.086938566,0.008878158,0.00225571,0.005637901,0.08359568,0.14288326,1.21E+06,414.7572453,1667.791788,173.2915982,829.0511333,2.030085841,3.09E+07
