temp	treatment	phot	resp	cue
7	ancestral	9.300796113	3.510013908	0.622611455
10	ancestral	NA	NA	NA
13	ancestral	10.44997933	4.911945031	0.529956483
16	ancestral	15.08332758	6.372169548	0.577535559
19	ancestral	NA	NA	NA
22	ancestral	18.17414537	6.717056246	0.630405936
26	ancestral	21.26962503	8.078045906	0.620207413
29	ancestral	22.28424664	7.390460153	0.668354947
32	ancestral	17.54993068	6.964947016	0.603135355
35	ancestral	9.631606169	3.951992966	0.58968495
38	ancestral	NA	NA	NA
41	ancestral	5.316791394	3.076645869	0.421334102
7	t22	8.423875538	3.17967821	0.622539745
10	t22	8.522587569	3.591895293	0.578544044
13	t22	10.44997933	3.264608998	0.687596607
16	t22	11.87885585	4.291301213	0.638744567
19	t22	13.90210128	4.362564184	0.6861939
22	t22	15.08332758	5.603828361	0.628475326
26	t22	17.34666034	6.08489822	0.649217884
29	t22	17.85922176	6.372169548	0.643200043
32	t22	18.38711229	7.245858034	0.605927352
35	t22	12.37316482	5.965840793	0.517840352
38	t22	9.74447054	5.126893909	0.473866344
41	t22	6.870109191	3.65158018	0.468482949
7	t26	4.623120916	1.883150176	0.5926669
10	t26	5.768603364	2.078783777	0.639638289
13	t26	6.634146344	2.332855375	0.648356359
16	t26	7.541265454	2.696767949	0.642398485
19	t26	8.877322578	2.635286751	0.703143968
22	t26	9.974182455	3.096987919	0.689499572
26	t26	11.53781613	3.429999104	0.702716782
29	t26	12.15888283	3.663613663	0.698688299
32	t26	12.59134912	3.811336824	0.697305127
35	t26	9.916202148	3.712219702	0.625640982
38	t26	6.557306998	3.31882233	0.493874188
41	t26	4.311000449	2.363801197	0.451681524
7	t32	5.768603364	NA	NA
10	t32	NA	2.085644666	NA
13	t32	8.08726013	NA	NA
16	t32	9.086592723	2.609370488	0.712832899
19	t32	9.687825557	3.31882233	0.657423401
22	t32	10.51108064	3.340765592	0.682167257
26	t32	12.8133808	4.277163259	0.666195571
29	t32	12.30136215	4.895762328	0.602014617
32	t32	12.15888283	4.583578386	0.623026355
35	t32	10.32894347	4.420443366	0.572033347
38	t32	NA	NA	NA
41	t32	6.790536828	3.429999104	0.494885428
7	tFS	4.464333808	1.786454626	0.599838475
10	tFS	5.538091795	2.018050608	0.635605425
13	tFS	6.369111641	2.491746823	0.608776394
16	tFS	7.367585201	2.661463076	0.638760462
19	tFS	7.764095767	2.889952309	0.627779925
22	tFS	8.774414118	3.452677441	0.606506213
26	tFS	10.75886429	4.030901306	0.625341375
29	tFS	11.20656761	4.249111915	0.620837346
32	tFS	12.15888283	4.376984426	0.64001755
35	tFS	9.858657469	4.207295322	0.573238513
38	tFS	8.277905687	4.179660403	0.495082384
41	tFS	7.719039969	4.097880956	0.469120386
