temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.354888635,28.1289843,0.177134782,412356.3942,134303.9861,1.60E+10,908.625282,3.85E-10,0.07614469,0.036887875,0.001044549,0.002229311,0.002842117,0.142701169,0.23815029,414591.2758,476.7839747,883.3771202,25.24816188,1646.134113,0.090662692,1.61E+07
4,0.375745236,27.31053777,0.174919169,433213.2743,141105.6325,1.59E+10,956.7007651,4.27E-10,0.080645591,0.03915259,0.00119595,0.00226336,0.002897953,0.14006018,0.233784376,427289.8815,480.1965754,928.08122,28.61954516,1602.753773,0.099761426,1.69E+07
5,0.397211159,26.54316005,0.172691902,454352.7236,148006.2513,1.58E+10,1005.778222,4.75E-10,0.085285663,0.041499828,0.001366689,0.002294715,0.002949396,0.137330453,0.229273256,439925.4271,482.8747943,973.4093425,32.36887931,1558.688333,0.109995152,1.78E+07
6,0.419241368,25.82341888,0.170458149,475713.7958,154988.462,1.57E+10,1055.765725,5.29E-10,0.090057618,0.043927526,0.001558825,0.002323183,0.002996067,0.134514688,0.224622093,452477.4695,484.8016828,1019.237574,36.52815051,1514.038868,0.121574816,1.86E+07
7,0.441783416,25.14807975,0.168223083,497232.0974,162034.431,1.56E+10,1106.5672,5.91E-10,0.09495322,0.046433164,0.001774577,0.002348578,0.003037607,0.13161599,0.219836863,464927.3108,485.9642579,1065.436418,41.13078193,1468.908239,0.134761687,1.94E+07
8,0.464777057,24.51410196,0.165991816,518840.0056,169126.1003,1.55E+10,1158.083253,6.63E-10,0.099963369,0.049013772,0.002016334,0.002370721,0.003073678,0.128637823,0.214924302,477258.0549,486.3533314,1111.871688,46.2115645,1423.399582,0.149889466,2.03E+07
9,0.488153811,23.91863757,0.163769332,540466.8165,176245.4298,1.54E+10,1210.211916,7.47E-10,0.105078204,0.051665936,0.002286655,0.002389442,0.003103969,0.125583954,0.209891839,489454.5436,485.9632111,1158.405347,51.80656863,1377.614731,0.167391944,2.11E+07
10,0.511836449,23.35903337,0.161560426,562038.79,183374.6453,1.53E+10,1262.849265,8.46E-10,0.110287245,0.054385812,0.002588275,0.002404579,0.003128191,0.122458389,0.204747506,501503.1477,484.7912703,1204.896232,57.95303258,1331.652595,0.187836483,2.20E+07
11,0.535738366,22.83283635,0.159369635,583479.0554,190496.4916,1.52E+10,1315.889837,9.63E-10,0.115579561,0.057169144,0.002924114,0.002415979,0.00314608,0.119265289,0.199499832,513391.3822,482.8373869,1251.200615,64.68922121,1285.607523,0.211993568,2.29E+07
12,0.559762809,22.33780313,0.157201189,604707.3383,197594.4841,1.51E+10,1369.226784,1.10E-09,0.120943964,0.060011277,0.003297274,0.002423496,0.003157394,0.116008878,0.194157716,525107.3144,480.1032511,1297.172538,72.05424659,1239.567676,0.240911584,2.37E+07
13,0.583801881,21.87191385,0.155058956,625639.466,204653.1573,1.50E+10,1422.751689,1.28E-09,0.126369251,0.062907174,0.003711043,0.002426988,0.003161908,0.112693344,0.188730291,536638.7256,476.5915496,1342.66385,80.08783843,1193.613439,0.276097766,2.46E+07
14,0.607735296,21.43339127,0.15294639,646186.6074,211658.3047,1.49E+10,1476.353948,1.42E-09,0.131844467,0.065851427,0.004168896,0.002426317,0.003159411,0.109322721,0.183226759,547971.9832,472.3050302,1387.523899,88.83004856,1147.815891,0.303890939,2.54E+07
15,0.631428785,21.02072572,0.150866498,666254.2006,218597.2103,1.48E+10,1529.919662,1.76E-09,0.137359205,0.06883826,0.004674497,0.002421344,0.003149698,0.105900766,0.177656227,559090.5767,467.245464,1431.598793,98.32086902,1102.235367,0.374064686,2.62E+07
16,0.654732101,20.63264461,0.148822035,685741.602,225459.2058,1.47E+10,1583.332351,0,0.14290396,0.071861531,0.005231688,0.002411934,0.003132554,0.102430795,0.172027539,569974.9789,461.414016,1474.732435,108.5999157,1056.92133,0,2.71E+07
17,0.677476444,20.26846885,0.146814314,704534.8316,232234.1703,1.46E+10,1636.458292,2.61E-09,0.148470441,0.074914681,0.005844488,0.002397922,0.003107764,0.098915711,0.166348991,580591.5941,454.8024505,1516.753409,119.7048838,1011.905105,0.545519599,2.79E+07
18,0.699471486,19.92753268,0.144845515,722515.1147,238916.1219,1.45E+10,1689.167772,3.80E-09,0.154052097,0.077990745,0.006517075,0.002379158,0.003075067,0.095357532,0.160628322,590907.2686,447.4070249,1557.495256,131.6725163,967.2109815,0.787870931,2.87E+07
19,0.719895983,19.62178243,0.142936368,738993.4681,245449.7525,14413779567,1740.935066,5.11E-09,0.15964887,0.081085908,0.007288042,0.002352882,0.003029899,0.091736849,0.154857545,600655.9651,438.801492,1595.937259,144.9978068,923.0012323,1.048155877,29453967.5
20,0.74032048,19.31603218,0.141027221,755471.8214,251983.3831,1.43E+10,1792.702359,6.42E-09,0.165245643,0.084181071,0.00805901,0.002326606,0.00298473,0.088116167,0.149086767,610404.6617,430.1959591,1634.379262,158.3230973,878.791483,1.308440824,3.02E+07
21,0.758647334,19.04715109,0.139178,770120.165,258366.5196,1.42E+10,1843.157414,9.89E-09,0.170856912,0.087278427,0.008937302,0.002292366,0.002926326,0.084432519,0.143276138,619423.1879,420.3289771,1670.100431,173.0569829,835.0293915,1.99732371,3.10E+07
22,0.775158746,18.80517789,0.137368048,783290.253,264652.1515,1.41E+10,1892.439795,1.97E-08,0.176483167,0.090364566,0.00989317,0.002252455,0.002858468,0.080704632,0.137443524,627800.9179,409.5715466,1703.688549,188.7512455,791.5144869,3.943132335,3.18E+07
23,0.789482076,18.59299851,0.135596215,794752.3332,270845.7871,1.41E+10,1940.276656,1.16E-07,0.182133312,0.093428607,0.010931075,0.00220654,0.002780733,0.076929184,0.131590434,635377.8164,397.8738015,1734.868027,205.4086294,748.1891589,23.04330232,3.25E+07
24,0.810565874,10.97337674,0.109799225,1.33E+06,433402.1223,2.10E+10,3633.752811,0.058825991,5.30E-09,0.104821009,0.013095703,0.00214746,0.123706401,0.073725109,0.123678322,1.08E+06,646.3709895,3225.639804,408.1130076,1196.903038,1.95E+07,1.281858508
25,0.831270654,10.55372279,0.106821903,1.39E+06,458464.1894,2.12E+10,3845.150246,0.061607933,4.44E-09,0.109814394,0.014647917,0.002115494,0.121363867,0.070818241,0.119632149,1.12E+06,643.1551528,3387.500736,457.6495104,1161.276613,2.06E+07,1.091096772
26,0.848390048,10.17626628,0.103865346,1.45E+06,484918.6384,2.14E+10,4064.03248,0.064501103,3.82E-09,0.114886809,0.016354579,0.00207391,0.119061639,0.06772783,0.115394126,1.16E+06,636.9814282,3551.875431,512.157049,1121.994336,2.18E+07,0.915078852
27,0.860999849,9.843842085,0.100925808,1.50E+06,512919.879,2.15E+10,4289.903666,0.067522584,3.44E-09,0.120022258,0.018226509,0.00202169,0.116818258,0.064437032,0.110951666,1.20E+06,627.408065,3717.969333,571.9343339,1078.593445,2.31E+07,0.805902793
28,0.86801387,9.560808498,0.097998559,1.55E+06,542654.3274,2.17E+10,4522.064457,0.070694149,3.02E-09,0.125202119,0.020274473,0.001957708,0.114653805,0.060927128,0.106290616,1.24E+06,613.9355546,3884.815923,637.2485334,1030.557609,2.44E+07,0.664332308
29,0.863983303,9.366693799,0.095078386,1584701.386,575454.7872,21917416825,4761.601119,0.074148481,2.87E-09,0.130403473,0.02260715,0.001873538,0.112651676,0.057046331,0.101269348,1266730.342,593.4602129,4050.334544,711.2665747,974.4031785,25895465.19,0.626315079
