temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.34749158,8.368484114,0.16848251,409934.8815,132821.3632,1.60E+10,901.4935256,3.90E-10,0.07504128,0.036470608,0.001027575,0.002153869,0.009512808,0.139868388,0.235925472,1.42E+06,462.2624764,876.3212992,25.17222635,1619.107474,0.092125933,1.59E+07
4,0.367744096,8.144177733,0.166268611,430692.2159,139531.5317,1.59E+10,949.189687,4.33E-10,0.079458743,0.0387053,0.001176236,0.002186192,0.009666656,0.137220073,0.2315868,1.46E+06,465.5010789,920.6531487,28.53653835,1575.929271,0.101439208,1.67E+07
5,0.388583044,7.934755531,0.164051482,451744.8809,146341.913,1.58E+10,997.90771,4.81E-10,0.084013324,0.041022102,0.001343881,0.002215955,0.009804046,0.134490319,0.227110373,1.50E+06,468.0403225,965.6285088,32.27920121,1532.14543,0.111926833,1.76E+07
6,0.409965959,7.739294816,0.161836038,473034.1538,153235.9563,1.57E+10,1047.561028,5.37E-10,0.088698244,0.043419195,0.00153254,0.002242981,0.009923813,0.131681967,0.22250126,1.54E+06,469.864802,1011.128513,36.43251578,1487.854178,0.12380327,1.84E+07
7,0.431843427,7.556932218,0.159627138,494497.8083,160196.6713,1.56E+10,1098.058957,6.00E-10,0.093505842,0.045894328,0.001744405,0.002267097,0.010024869,0.128798197,0.217765261,1.58E+06,470.9627495,1057.028677,41.03028015,1443.154833,0.137338324,1.92E+07
8,0.454158702,7.386863129,0.157429528,516070.2886,167206.8453,1.55E+10,1149.307431,6.74E-10,0.098427647,0.048444822,0.001981838,0.00228814,0.01010621,0.125842487,0.212908856,1.61E+06,471.3258539,1103.199707,46.10772393,1398.146381,0.152878294,2.01E+07
9,0.476847271,7.228342073,0.155247791,537682.8139,174249.2726,1.54E+10,1201.209667,7.60E-10,0.103454483,0.051067578,0.002247374,0.002305953,0.01016692,0.122818555,0.207939137,1.65E+06,470.948963,1149.508245,51.70142235,1352.926005,0.170869999,2.09E+07
10,0.499836342,7.080684114,0.153086296,559263.3814,181306.9923,1.53E+10,1253.666702,8.60E-10,0.1085766,0.053759086,0.002543729,0.002320387,0.010206174,0.119730299,0.202863725,1.68E+06,469.8296669,1195.817516,57.84918596,1307.587568,0.191904878,2.18E+07
11,0.523044215,6.943267473,0.150949158,580736.6321,188363.532,1.52E+10,1306.577732,9.80E-10,0.113783837,0.056515439,0.002873805,0.002331299,0.010223233,0.116581716,0.197690671,1.72E+06,467.9677596,1241.987813,64.58991947,1262.220106,0.21677877,2.26E+07
12,0.546392205,6.820140036,0.148856026,601888.7611,195387.3115,15134418220,1359.96365,1.10E-09,0.119098,0.059360287,0.003260741,0.002336657,0.010205714,0.113350629,0.192387971,1748350.447,464.9950053,1287.663567,72.30008329,1216.970612,0.241656506,23446476.74
13,0.569740194,6.697012598,0.146762894,623040.8901,202411.091,1.50E+10,1413.349568,1.23E-09,0.124412164,0.062205134,0.003647677,0.002342015,0.010188195,0.110119543,0.187085271,1.78E+06,462.022251,1333.339321,80.01024712,1171.721117,0.266534242,2.43E+07
14,0.59301233,6.587291311,0.144720394,643700.4739,209373.8016,1.49E+10,1466.998615,1.44E-09,0.129812788,0.065128781,0.004098236,0.002341556,0.010134965,0.10681363,0.181670043,1.81E+06,457.9427743,1378.227399,88.77121575,1126.730186,0.310163677,2.51E+07
15,0.616068531,6.486062866,0.142715455,663907.9979,216279.1858,1.48E+10,1520.67632,1.77E-09,0.135258159,0.068097887,0.004596047,0.002337045,0.010057234,0.103462525,0.176191101,1.84E+06,453.1270667,1422.389109,98.28721093,1081.988679,0.378781113,2.60E+07
16,0.638765991,6.393119759,0.140750454,683561.6126,223116.8156,1.47E+10,1574.266072,2.20E-09,0.140739659,0.071106686,0.005144977,0.002328344,0.009954491,0.100069249,0.170656591,1.87E+06,447.5738731,1465.667495,108.5985765,1037.539965,0.466589551,2.68E+07
17,0.660944043,6.308362674,0.138827432,702551.0516,229878.4559,1.47E+10,1627.645491,0,0.146249961,0.074149017,0.005749081,0.002315312,0.009826194,0.096636243,0.165074191,1.89E+06,441.2794551,1507.900835,119.7446555,993.4155641,0,2.76E+07
18,0.682421063,6.23187921,0.136947848,720750.227,236556.6939,1.46E+10,1680.671716,3.39E-09,0.151783385,0.077218259,0.006412596,0.002297784,0.009671759,0.093165375,0.159450838,1.91E+06,434.2321693,1548.909687,131.7620286,949.6289021,0.706430297,2.84E+07
19,0.702990887,6.163854911,0.135113105,738024.5437,243148.2459,1.45E+10,1733.200045,4.86E-09,0.157336466,0.080307309,0.007139913,0.002275589,0.00949048,0.08965753,0.153792708,1.94E+06,426.4196296,1588.514833,144.6852121,906.1850428,1.002260513,2.92E+07
20,0.722418181,6.104723153,0.133324073,754217.3932,249650.9783,1.44E+10,1785.055801,6.59E-09,0.162908334,0.083408435,0.007935564,0.002248519,0.009281536,0.086112752,0.148104853,1.96E+06,417.8190334,1626.512378,158.5434233,863.0695488,1.348315308,3.00E+07
21,0.740433123,6.055151455,0.131581383,769151.3551,256065.5999,1.43E+10,1836.039399,1.02E-08,0.16850129,0.086513156,0.008804177,0.002216339,0.009043947,0.082529976,0.142391104,1.97E+06,408.400158,1662.679731,173.359668,820.2534388,2.069976652,3.07E+07
22,0.756725048,6.016110974,0.129885434,782622.812,262395.4381,1.42E+10,1885.91648,2.05E-08,0.174121352,0.089612058,0.009750424,0.002178773,0.008776553,0.078906941,0.136653878,1.98E+06,398.123402,1696.768216,189.1482632,777.6921463,4.126751254,3.15E+07
23,0.770935063,5.988950224,0.12823644,794397.605,268646.6013,1.41E+10,1934.410442,1.30E-07,0.179778574,0.092694557,0.010778952,0.002135494,0.008478186,0.075240081,0.130894026,1.99E+06,386.9390625,1728.498331,205.9121113,735.3263861,25.98652927,3.22E+07
24,0.791740733,3.573477387,0.104034299,1.32E+06,427696.1011,2.10E+10,3603.172945,0.058091221,5.45E-09,0.10400999,0.012914238,0.002083567,0.127695489,0.072110413,0.123095076,3.34E+06,626.7109619,3196.266708,406.906237,1169.888673,1.92E+07,1.316338667
25,0.811954023,3.46595271,0.101261045,1.38E+06,452525.3645,2.12E+10,3813.704923,0.060854029,4.23E-09,0.108995416,0.014448368,0.002052968,0.125281554,0.069267927,0.119099733,3.45E+06,623.6930318,3357.300462,456.4044605,1135.030539,2.04E+07,1.063201977
26,0.828759219,3.372478852,0.098520366,1.44E+06,478792.6265,2.13E+10,4032.068052,0.063734061,3.67E-09,0.114068762,0.016137001,0.002013259,0.122877795,0.066253357,0.114915761,3.54E+06,617.8891466,3521.158428,510.9096237,1096.744631,2.15E+07,0.827270486
27,0.841273105,3.294451203,0.095809964,1.49E+06,506667.1381,2.15E+10,4257.854737,0.066749787,3.32E-09,0.119215498,0.017991563,0.001963462,0.120499474,0.063050253,0.110529959,3.63E+06,608.8783506,3687.121323,570.7334133,1054.584666,2.28E+07,0.736634091
28,0.845172243,3.24415315,0.093138848,1536770.365,537378.8602,21715254857,4493.441977,0.070018472,3.11E-09,0.124436406,0.020118057,0.001896292,0.118194031,0.059526168,0.105810571,3684881.169,594.0651926,3854.367381,639.0745958,1005.576131,24182048.45,0.683712951
29,0.849071381,3.193855097,0.090467733,1.58E+06,568090.5822,2.19E+10,4729.029218,0.073287158,2.90E-09,0.129657313,0.02224455,0.001829122,0.115888588,0.056002084,0.101091182,3.74E+06,579.2520345,4021.61344,707.4157783,956.5675946,2.56E+07,0.63079181
30,0.836838467,3.194578033,0.087837408,1613397.39,603498.4936,22096157436,4973.999884,0.077005744,2.78E-09,0.134899411,0.024770628,0.001734388,0.113748399,0.051974985,0.095866441,3742386.052,554.7139718,4186.309042,787.6908414,896.3971472,27157431.99,0.601909089
31,0.824605553,3.195300969,0.085207083,1.64E+06,638906.405,2.23E+10,5218.97055,0.080724331,2.65E-09,0.140141509,0.027296706,0.001639654,0.111608211,0.047947887,0.0906417,3.74E+06,530.1759091,4351.004645,867.9659044,836.2266999,2.88E+07,0.573026368
32,0.795861564,3.254301267,0.082599582,1.66E+06,678682.2869,2.25E+10,5466.709364,0.084891098,2.56E-09,0.145323669,0.030147182,0.001520395,0.109653064,0.043478414,0.084986175,3.67E+06,496.5875177,4509.489729,957.2196356,765.9489486,3.05E+07,0.554403434
33,0.753165252,3.373591597,0.080005141,1.66E+06,721899.3154,2.27E+10,5712.93715,0.089431025,2.50E-09,0.150413132,0.033223879,0.001382415,0.107861375,0.038674755,0.079013416,3.55E+06,455.892027,4660.798136,1052.139014,687.9197298,3.25E+07,0.541039313
34,0.693875076,3.585126197,0.077424588,1.64E+06,768984.3593,2.28E+10,5954.25694,0.094409398,2.45E-09,0.155360291,0.036530792,0.001223731,0.106270166,0.033505023,0.072700596,3.34E+06,407.2146622,4802.080565,1152.176375,601.3592044,3.46E+07,0.533219975
