temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.352133423,15.07136347,0.17359738,411537.3733,133777.4584,1.60E+10,906.1480043,3.87E-10,0.075732183,0.036732016,0.001038205,0.002197179,0.005326968,0.141653373,0.237320075,784352.3666,470.6191901,880.9231694,25.22483481,1636.506709,0.091228424,1.61E+07
4,0.372758507,14.64328518,0.171382487,432357.1228,140544.4122,1.59E+10,954.0809145,4.29E-10,0.080200977,0.038985165,0.001188566,0.002230518,0.005424798,0.139007407,0.232962568,807544.456,473.9596899,925.4868815,28.59403307,1593.163208,0.100405709,1.69E+07
5,0.393983219,14.24248452,0.169158971,453463.8464,147410.5817,1.58E+10,1003.022199,4.77E-10,0.084808018,0.041320626,0.001358128,0.002261217,0.005514001,0.136275359,0.228462651,830539.8122,476.5798886,970.6808454,32.3413539,1549.164325,0.110737218,1.77E+07
6,0.415763385,13.86717651,0.166931905,474797.4431,154358.8908,1.57E+10,1052.881938,5.32E-10,0.089546196,0.043736424,0.001548937,0.002289088,0.005593887,0.133459999,0.223825468,853295.5196,478.463451,1016.383036,36.49890193,1504.61029,0.122431514,1.85E+07
7,0.438047598,13.51568339,0.164706339,496294.3525,161371.8177,1.56E+10,1103.566094,5.95E-10,0.094407483,0.046230137,0.001763201,0.002313952,0.005663802,0.130564475,0.219056949,875771.5692,479.5978819,1062.465851,41.10024211,1459.602843,0.135754401,1.94E+07
8,0.460776832,13.18643294,0.162487241,517887.7563,168431.6192,1.55E+10,1154.977302,6.67E-10,0.099383005,0.048798902,0.002003297,0.002335634,0.005723137,0.127592272,0.214163752,897930.8873,479.9743507,1108.79697,46.18033212,1414.243764,0.151041456,2.02E+07
9,0.483884004,12.87795824,0.160279438,539507.7099,175520.5687,1.54E+10,1207.015595,7.52E-10,0.104463152,0.051439423,0.002271774,0.002353971,0.005771328,0.124547156,0.209153195,919739.131,479.5873926,1155.24016,51.77543527,1368.63332,0.168730563,2.11E+07
10,0.507293463,12.58889923,0.158087551,561081.172,182621.2,1.53E+10,1259.578981,8.51E-10,0.10963771,0.054147981,0.002571359,0.002368806,0.005807861,0.121433106,0.204033175,941164.2036,478.4344837,1201.655971,57.92300985,1322.868696,0.189407511,2.19E+07
11,0.530920369,12.31800625,0.155915949,582531.8947,189716.5569,1.52E+10,1312.563837,9.70E-10,0.114896034,0.056920452,0.002904961,0.00237999,0.005832268,0.118254239,0.198812056,962175.436,476.5154884,1247.902269,64.66156827,1277.042391,0.213838243,2.28E+07
12,0.554669912,12.06414578,0.15376869,603780.1365,196790.4423,1.51E+10,1365.865041,1.11E-09,0.120227236,0.059752318,0.003275677,0.00238738,0.005844121,0.115014716,0.193498551,982742.375,473.8319815,1293.834543,72.03049758,1231.24065,0.243106304,2.36E+07
13,0.578436339,11.82630879,0.151649485,624742.1547,203827.6648,1.50E+10,1419.375756,1.30E-09,0.125620427,0.062638684,0.003686791,0.002390838,0.00584303,0.111718643,0.188101585,1.00E+06,470.3864496,1339.305927,80.06982921,1185.541911,0.281671548,2.45E+07
14,0.602101701,11.60362223,0.149561651,645329.4325,210814.2784,1.49E+10,1472.986807,1.46E-09,0.131064973,0.065574288,0.004141779,0.002390231,0.005828629,0.108369961,0.182630138,1.02E+06,466.181377,1384.166865,88.81994188,1140.015329,0.313448229,2.53E+07
15,0.625534282,11.39536391,0.147508086,665447.5943,217737.8142,1.48E+10,1526.585544,1.71E-09,0.136550804,0.068553504,0.004644304,0.002385422,0.005800562,0.104972325,0.177093078,1.04E+06,461.2182282,1428.264367,98.32117701,1094.719376,0.363497591,2.61E+07
16,0.648586613,11.20098189,0.145491242,684994.9598,224587.4997,1.47E+10,1580.054103,2.16E-09,0.142068746,0.071570333,0.005198216,0.002376272,0.005758472,0.101528975,0.171498984,1.06E+06,455.4963348,1471.440764,108.6133387,1049.700542,0.455415011,2.70E+07
17,0.671092985,11.02011902,0.143513108,703860.6903,231354.4641,1.46E+10,1633.266968,3.23E-09,0.147610896,0.074618383,0.005807545,0.002362634,0.005701979,0.098042603,0.165855957,1.08E+06,449.0117046,1513.531924,119.7350445,1004.99217,0.675294235,2.78E+07
