temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.351943026,20.19676522,0.180598134,305682.9597,99340.39351,1.65E+10,672.9979978,3.86E-10,0.075697117,0.03672107,0.001037781,0.002206948,0.00535053,0.141711352,0.237275203,585304.6008,351.1885589,654.261441,18.73655677,1216.296851,0.067731127,1.19E+07
4,0.372557515,19.62402311,0.178881358,321155.0887,104367.7275,1.65E+10,708.6143658,4.29E-10,0.080163926,0.038973625,0.001188084,0.002240283,0.005448449,0.139066581,0.232919051,602583.0533,353.6648356,687.3747647,21.23960106,1184.127394,0.074553226,1.25E+07
5,0.39377151,19.08774375,0.177155805,336841.127,109468.9775,1.64E+10,744.9813998,4.77E-10,0.08476896,0.04130849,0.001357582,0.002270968,0.005537709,0.136335726,0.228420564,619714.4395,355.6041919,720.9577706,24.02362924,1151.469092,0.082226796,1.31E+07
6,0.415540892,18.58554577,0.175425311,352696.4409,114631.4689,1.63E+10,782.0323637,5.31E-10,0.089505122,0.043723695,0.00154832,0.002298814,0.005617618,0.13352155,0.223784881,636666.7801,356.9944737,754.9198561,27.11250768,1118.396348,0.09091216,1.38E+07
7,0.437814316,18.11519056,0.17369372,368673.8214,119842.1948,1.62E+10,819.6974542,5.94E-10,0.094364391,0.046216821,0.001762507,0.002323641,0.00568752,0.130627194,0.219017925,653410.2533,357.8263838,789.1662647,30.53118948,1084.9847,0.100805896,1.44E+07
8,0.46053282,17.67458002,0.171964834,384723.6331,125087.983,1.62E+10,857.9043894,6.67E-10,0.099337907,0.048785011,0.002002519,0.002345276,0.005746806,0.127656136,0.214126344,669917.2156,358.0933514,823.5987251,34.30566427,1051.309725,0.112159098,1.50E+07
9,0.48362939,17.26175637,0.170242369,400793.9117,130355.672,1.61E+10,896.5789417,7.51E-10,0.104416072,0.051424971,0.002270903,0.002363554,0.005794912,0.124612136,0.209117451,686162.049,357.7913095,858.116048,38.46289369,1017.445885,0.125297302,1.56E+07
10,0.507028451,16.87490433,0.168529906,416830.3859,135632.2932,1.60E+10,935.6453725,8.51E-10,0.109588688,0.054132988,0.002570388,0.002378317,0.005831322,0.121499164,0.203999132,702120.7996,356.9183795,892.6146433,43.03072913,983.4653639,0.140649754,1.63E+07
11,0.530645242,16.51235585,0.166830855,432776.3951,140905.2555,1.59E+10,975.0267222,9.69E-10,0.114845119,0.05690494,0.002903882,0.002389418,0.005855568,0.118321331,0.198779741,717770.5678,355.4744593,926.9889149,48.03780723,949.4368765,0.158794821,1.69E+07
12,0.554385037,16.17259795,0.165148407,448572.6765,146162.5311,1.59E+10,1014.644906,1.12E-09,0.120174496,0.059736316,0.003274481,0.002396711,0.00586722,0.115082791,0.193467983,733088.6051,353.4607191,961.1314898,53.51341652,915.4244981,0.181669991,1.75E+07
13,0.578142169,15.85428394,0.163485504,464156.9875,151392.8384,1.58E+10,1054.42056,1.28E-09,0.12556594,0.062622225,0.003685471,0.002400061,0.005865889,0.111787643,0.188072771,748051.0677,350.8790072,994.9332338,59.48732642,881.4865167,0.206169015,1.82E+07
14,0.60179878,15.5562488,0.161844811,479463.532,156585.8209,1.57E+10,1094.272573,1.50E-09,0.131008835,0.065557407,0.004140326,0.00239933,0.005851207,0.10843982,0.182603073,762631.3683,347.7311698,1028.283007,65.98956663,847.674331,0.239768017,1.88E+07
15,0.62522325,15.27752931,0.160228684,494422.1535,161732.2194,1.56E+10,1134.117246,1.76E-09,0.136493123,0.068536242,0.004642709,0.002394385,0.005822819,0.10504297,0.17706775,776798.0589,344.0182931,1061.067105,73.05014118,814.0314081,0.277749995,1.94E+07
16,0.648268207,15.01738998,0.158639162,508957.2625,166824.0353,1.56E+10,1173.867003,2.68E-09,0.142009643,0.071552733,0.005196472,0.002385086,0.005780368,0.101600327,0.171475368,790512.1633,339.7398753,1093.168346,80.69865757,780.5923227,0.420529072,2.00E+07
17,0.670768048,14.77535621,0.157077948,522986.4525,171854.683,1.55E+10,1213.428562,3.13E-09,0.147550514,0.074600491,0.005805644,0.002371284,0.005723468,0.098114577,0.165834018,803723.8588,334.8929364,1124.464719,88.96384271,747.3818759,0.48639944,2.06E+07
18,0.692535863,14.5512557,0.155546413,536418.7929,176819.1322,1.54E+10,1252.700541,3.76E-09,0.15310953,0.077672692,0.006474422,0.002352819,0.005651692,0.094587721,0.16015112,816368.4255,329.4710942,1154.827622,97.872919,714.4143555,0.580029871,2.12E+07
19,0.713359675,14.34527151,0.154045598,549152.7426,181714.0334,1.54E+10,1291.570343,4.74E-09,0.15868262,0.080762004,0.007207153,0.00232951,0.005564546,0.091020937,0.154433224,828361.2916,323.4636048,1184.119549,107.4507942,681.692908,0.725686672,2.18E+07
20,0.732266777,14.16792713,0.152592174,560601.9144,186502.4355,15293370650,1329.571651,7.36E-09,0.164275494,0.08386075,0.008044792,0.002298505,0.005453115,0.087394146,0.14867319,839139.3244,316.5424085,1211.499013,118.0726379,649.3177747,1.113627592,22380289.29
21,0.75117388,13.99058274,0.15113875,572051.0863,191290.8377,1.52E+10,1367.572959,9.98E-09,0.169868367,0.086959496,0.008882431,0.002267501,0.005341683,0.083767354,0.142913157,849917.3573,309.6212122,1238.878478,128.6944816,616.9426415,1.501568512,2.30E+07
22,0.767569566,13.84472688,0.149733356,581935.2804,195975.3283,1.52E+10,1404.385602,1.99E-08,0.175488094,0.090049408,0.00983411,0.002228281,0.005204436,0.080077596,0.137118056,859152.2802,301.7346523,1263.997903,140.3876992,584.8614971,2.972421547,2.35E+07
23,0.781818051,13.72293781,0.148360022,590554.2652,200595.6226,1.51E+10,1440.144629,1.19E-07,0.181136927,0.09311949,0.010867873,0.002183162,0.00504889,0.076341766,0.131301772,867060.751,293.1577449,1287.343767,152.8008626,552.922446,17.58855944,2.41E+07
24,0.802759112,8.141955292,0.12077161,987288.07,320164.8703,2.02E+10,2689.914592,0.058513118,0,0.104479909,0.013019588,0.002125452,0.125295092,0.0731258,0.123441041,1.46E+06,475.1237745,2387.115828,302.7987646,881.6837567,1.44E+07,0
25,0.821466308,7.871565258,0.11793122,1029323.052,339228.5253,20362955013,2849.494051,0.061342195,1.92E-09,0.10950912,0.014640949,0.002089062,0.122948172,0.070151727,0.119318772,1514389.195,471.6726215,2508.055548,341.438503,854.0922737,15265283.51,0.340582578
26,0.840173504,7.601175225,0.115090831,1.07E+06,358292.1802,2.05E+10,3009.07351,0.064171272,3.83E-09,0.114538332,0.016262311,0.002052672,0.120601253,0.067177653,0.115196503,1.57E+06,468.2214686,2628.995269,380.0782414,826.5007907,1.61E+07,0.681165157
27,0.852698739,7.380722579,0.112254368,1.11E+06,379046.8321,2.06E+10,3176.810692,0.067188307,3.42E-09,0.119675953,0.018126238,0.002001149,0.118314103,0.063918404,0.110775844,1.61E+06,461.2258511,2752.309808,424.5008842,794.5968939,1.71E+07,0.597064614
28,0.859733512,7.198183694,0.109416749,1.15E+06,401112.5414,2.08E+10,3349.384002,0.070358979,3.18E-09,0.12486277,0.020166635,0.001938095,0.116091046,0.060444929,0.106137543,1.66E+06,451.395145,2876.32645,473.0575519,759.3261354,1.81E+07,0.544915146
29,0.860025653,7.059182305,0.106574344,1.18E+06,424661.3396,2.09E+10,3526.119749,0.073711283,2.99E-09,0.130077755,0.022394381,0.001862283,0.113952231,0.05673662,0.101265445,1.69E+06,438.3182852,3000.204412,525.9153365,720.2677728,1.91E+07,0.50614115
30,0.847153649,7.004610062,0.103716826,1200787.579,450856.8973,21053939773,3707.146631,0.07740826,2.81E-09,0.135283508,0.024923481,0.001764556,0.111984356,0.052629698,0.09600614,1702691.872,419.4278714,3121.734183,585.4124487,674.5860993,20288560.2,0.463669534
31,0.834281644,6.950037819,0.100859308,1.22E+06,477052.455,2.12E+10,3888.173514,0.081105236,2.62E-09,0.140489261,0.027452581,0.001666828,0.11001648,0.048522776,0.090746835,1.72E+06,400.5374576,3243.263953,644.9095609,628.9044258,2.15E+07,0.421197918
32,0.804560348,7.013372067,0.097979396,1.23E+06,506398.5023,2.13E+10,4070.762527,0.085237527,2.54E-09,0.14562265,0.030300674,0.001544067,0.108269014,0.043965965,0.0850601,1.70E+06,374.7681623,3359.748755,711.013772,575.5723893,2.28E+07,0.407789847
33,0.760665098,7.196447497,0.095081414,1.23E+06,538232.7585,2.15E+10,4251.929749,0.089733807,0,0.150656118,0.033370233,0.001402309,0.106705467,0.039072173,0.079059893,1.66E+06,343.6313535,3470.636483,781.2932653,516.420373,2.42E+07,0
34,0.690104623,7.712070095,0.092157372,1207020.179,574437.8005,21589948543,4425.747912,0.094911003,1.24E-09,0.155439991,0.036776434,0.001228197,0.10548368,0.033614015,0.072546679,1555349.052,303.1824164,3568.808331,856.9395818,447.4728384,25849700.94,0.210645957
35,0.619544148,8.227692692,0.089233331,1.18E+06,610642.8425,2.17E+10,4599.566076,0.1000882,2.48E-09,0.160223863,0.040182635,0.001054086,0.104261892,0.028155857,0.066033465,1.45E+06,262.7334792,3666.980178,932.5858984,378.5253038,2.75E+07,0.421291915
36,0.516006372,9.474565711,0.086291435,1.13E+06,651855.3331,2.18E+10,4759.36646,0.106098579,2.49E-09,0.16463502,0.04391866,0.000843485,0.1034614,0.022073894,0.058968959,1.26E+06,211.7162721,3747.27778,1012.088679,298.8425086,2.93E+07,0.431489364
37,0.385645497,12.10134045,0.083344112,1.06E+06,696767.7995,2.19E+10,4904.284085,0.112772602,2.66E-09,0.168696425,0.047859414,0.000605661,0.103009447,0.015538014,0.051518433,987773.1211,152.8794832,3811.644506,1092.639579,211.5445091,3.14E+07,0.462981834
38,0.244297353,17,0.132677301,367355.6234,268140.288,1.37E+10,1547.500341,0.118,0.293516598,0.121296837,0.036602069,0.000393415,0.000267088,0.009446453,0.03847753,307598.0273,43.57944483,1186.76234,360.7380013,56.43994148,1.078904748,3.22E+07
39,0.109117969,24,0.132207054,315757.5356,272630.9487,1.36E+10,1498.950366,0.124,0.305196975,0.120154604,0.038533388,0.000169634,5.40E-05,0.004031335,0.031860092,142900.1078,18.37428339,1133.561136,365.3892307,23.55224231,0.106635098,3.27E+07
40,0.00E+00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
