temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.352203219,13.37613363,0.170167082,464483.3803,151003.6548,1.57E+10,1022.768584,0.00E+00,0.075745036,0.036736028,0.001038361,0.002193596,0.005318325,0.141632142,0.237336513,883757.5889,530.263308,994.298457,28.47012706,1846.645405,0.102974016,1.81E+07
4,0.372832189,12.995981,0.167715985,487977.4549,158640.6713,1.56E+10,1076.861225,0.00E+00,0.080214558,0.038989394,0.001188743,0.002226936,0.005416122,0.138985736,0.23297851,909904.6666,534.0363993,1044.588695,32.27252962,1797.71143,0.113333983,1.90E+07
5,0.394060829,12.64006027,0.165256895,511795.0064,166389.5453,1.55E+10,1132.091046,0.00E+00,0.084822334,0.041325073,0.001358328,0.002257641,0.005505305,0.13625325,0.228478069,935830.223,536.9975729,1095.589411,36.50163442,1748.038894,0.124995013,2.00E+07
6,0.415844949,12.30678458,0.162795476,535868.197,174230.9988,1.54E+10,1188.356527,0.00E+00,0.089561252,0.043741088,0.001549163,0.002285521,0.005585183,0.133437455,0.223840337,961485.8783,539.1284037,1147.162862,41.19366557,1697.740946,0.138194406,2.09E+07
7,0.438133119,11.99466253,0.160337351,560125.2876,182145.2509,1.53E+10,1245.551506,0.00E+00,0.094423279,0.046235016,0.001763455,0.002310398,0.005655103,0.130541502,0.219071246,986826.5338,540.4147977,1199.165012,46.38649426,1646.932435,0.153234986,2.19E+07
8,0.460866288,11.70229657,0.157888037,584490.8655,190112.2721,1.52E+10,1303.566074,0.00E+00,0.099399536,0.048803993,0.002003583,0.002332098,0.005714455,0.127568879,0.214177456,1.01E+06,540.8467944,1251.446512,52.11956242,1595.728247,0.170489785,2.28E+07
9,0.483977346,11.4283828,0.155452876,608885.9935,198112.0518,1.51E+10,1362.287384,0.00E+00,0.104480409,0.051444719,0.002272093,0.002350457,0.005762678,0.124523352,0.20916629,1.04E+06,540.4182306,1303.853599,58.4337844,1544.241558,0.190458563,2.38E+07
10,0.507390618,11.17171237,0.15303697,633228.2431,206124.8741,1.50E+10,1421.600313,0.00E+00,0.10965568,0.054153476,0.002571715,0.002365318,0.005799257,0.121408906,0.204045647,1.06E+06,539.1262596,1356.228891,65.37142204,1492.582056,0.213795061,2.47E+07
11,0.531021232,10.93117454,0.15064512,657431.5706,214131.5993,1.48E+10,1481.387902,0.00E+00,0.114914697,0.056926137,0.002905357,0.002376532,0.005823723,0.118229659,0.198823895,1.08E+06,536.9707291,1408.411977,72.97592567,1440.85414,0.241371526,2.57E+07
12,0.554774349,10.70576182,0.148281777,681405.9934,222113.9449,1.47E+10,1541.531504,0.00E+00,0.120246569,0.059758182,0.003276115,0.002383958,0.00583565,0.114989774,0.19350975,1.11E+06,533.9534162,1460.239773,81.29173156,1389.155137,0.274408498,2.67E+07
