temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.267589666,22.29342998,0.161642068,372227.0964,182761.1023,1.48E+10,737.5373763,3.16E-10,0.114959154,0.03321941,0.00094028,0.001650454,0.003041332,0.107685496,0.238503873,530257.5525,318.1597556,717.0350279,20.50234847,1119.659137,0.067200578,2.19E+07
4,0.281790075,21.84668245,0.159421347,387516.2401,190279.3675,1.46E+10,769.5316342,3.47E-10,0.12110813,0.035071648,0.001070871,0.001667532,0.003066464,0.105126365,0.232888989,541276.8645,317.6833051,746.5024163,23.02921791,1080.23553,0.07275211,2.28E+07
5,0.296241561,21.43212298,0.157222094,402731.8666,197770.0724,1.45E+10,801.6483818,3.80E-10,0.127379534,0.036971843,0.001217117,0.001682262,0.003085163,0.102510613,0.227153467,551926.2113,316.7059603,775.8396768,25.80870497,1040.921912,0.078815298,2.37E+07
6,0.310900795,21.04744152,0.155049428,417826.7111,205212.7757,1.44E+10,833.818297,4.17E-10,0.13375867,0.038916795,0.001380529,0.001694546,0.003097246,0.099843058,0.221309156,562196.5779,315.2372006,804.959484,28.85881302,1001.817769,0.085449632,2.46E+07
7,0.32572016,20.69047623,0.152908118,432754.0525,212587.9916,1.43E+10,865.9746185,4.58E-10,0.140230027,0.040903036,0.001562718,0.001704297,0.003102575,0.097128738,0.215368608,572082.1086,313.2887077,833.7764871,32.19813145,963.0167945,0.09273511,2.55E+07
8,0.340647611,20.35921733,0.150802535,447467.8411,219877.4074,1.41E+10,898.053564,5.04E-10,0.146777477,0.042926862,0.0017654,0.001711439,0.003101054,0.094372832,0.209344935,581579.5986,310.8738872,862.2077635,35.84580058,924.605735,0.100758929,2.64E+07
9,0.355626464,20.05181441,0.14873662,461922.714,227064.077,1.40E+10,929.9945664,5.54E-10,0.153384491,0.044984358,0.001990395,0.001715902,0.00309263,0.091580576,0.203251647,590687.7997,308.0073327,890.1730998,39.82146656,886.6633475,0.109627949,2.72E+07
10,0.370595077,19.76658726,0.146713853,476073.8802,234132.5917,1.39E+10,961.7402982,6.11E-10,0.160034382,0.047071424,0.002239629,0.001717624,0.003077286,0.088757167,0.197102487,599406.5227,304.7042414,917.5950758,44.14522245,849.259491,0.11946368,2.81E+07
11,0.385486403,19.50204122,0.144737231,489876.8608,241069.2231,1.38E+10,993.2364572,6.75E-10,0.166710568,0.049183804,0.002515136,0.001716552,0.003055034,0.085907668,0.190911236,607735.5143,300.9797889,944.3989275,48.83752968,812.4543509,0.130417577,2.89E+07
12,0.400112211,19.26605541,0.14283459,503068.0248,247785.1133,13658779024,1024.255618,7.52E-10,0.173394152,0.051325301,0.002834394,0.001711184,0.003022497,0.083028512,0.184683959,615474.9737,296.6516014,970.1314446,54.12417305,776.6416312,0.143428046,29734213.22
13,0.41473802,19.03006961,0.140931948,516259.1888,254501.0036,1.35E+10,1055.274778,8.29E-10,0.180077735,0.053466798,0.003153652,0.001705817,0.002989959,0.080149356,0.178456683,623214.4331,292.3234138,995.8639617,59.41081641,740.8289116,0.156438515,3.05E+07
14,0.428930432,18.82079679,0.139106808,528746.4132,260978.0291,1.34E+10,1085.717592,9.21E-10,0.186738705,0.055628246,0.003521268,0.001696052,0.002947234,0.077249054,0.17221944,630349.6844,287.41568,1020.384176,65.33341687,706.0755598,0.171985921,3.13E+07
15,0.442707268,18.62858659,0.137334868,540699.3934,267287.0362,1.33E+10,1115.709552,1.03E-09,0.193366595,0.057796668,0.003924369,0.001683281,0.002897773,0.074339469,0.165991844,637061.4896,282.1335401,1044.002187,71.70736538,672.0542044,0.189641247,3.21E+07
16,0.455636929,18.46194258,0.135643618,551742.1464,273336.9255,13226493607,1144.91696,1.16E-09,0.199922886,0.059965566,0.004385853,0.00166586,0.002838234,0.071421189,0.159800411,643076.0446,276.2971942,1066.119597,78.79736208,639.1348732,0.212420619,32800430.49
17,0.46856659,18.29529857,0.133952368,562784.8993,279386.8147,1.31E+10,1174.124367,1.30E-09,0.206479177,0.062134464,0.004847337,0.00164844,0.002778694,0.06850291,0.153608978,649090.5996,270.4608484,1088.237008,85.88735877,606.2155421,0.235199992,3.35E+07
18,0.480388936,18.15534916,0.132341607,572793.6659,285175.5684,1.30E+10,1202.423586,1.47E-09,0.212947322,0.064293261,0.005372557,0.00162619,0.002708999,0.065579158,0.147472512,654307.753,264.0664,1108.6945,93.72908571,574.3734706,0.262601135,3.42E+07
