temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.417799016,11.50038675,0.184590189,448799.4633,87028.4765,1.72E+10,1066.239305,0.00E+00,0.044972584,0.039453837,0.001113626,0.002628418,0.00755964,0.168024813,0.23624708,1.03E+06,616.7508363,1036.51884,29.72046552,2126.548865,0.112565073,1.04E+07
4,0.444052105,11.08103637,0.182540166,475630.6962,92223.8374,1.71E+10,1132.43223,0.00E+00,0.04781983,0.042046045,0.001280047,0.002678321,0.007758446,0.165548049,0.232869261,1.07E+06,626.3247351,1098.445689,33.98654045,2088.082395,0.125572583,1.11E+07
5,0.471299133,10.68645866,0.180457804,503320.4026,97588.76249,1.71E+10,1201.158888,0.00E+00,0.05077982,0.044754829,0.001468771,0.002725695,0.00794959,0.162970539,0.229350756,1.11E+06,635.1666316,1162.371876,38.78701209,2048.359389,0.140559132,1.17E+07
6,0.499508484,10.31513454,0.178346508,531823.483,103116.3034,1.70E+10,1272.379221,0.00E+00,0.053850574,0.047580354,0.001682369,0.002770277,0.008131875,0.160292557,0.225691993,1.15E+06,643.2235429,1228.202917,44.17630372,2007.422342,0.157966883,1.24E+07
7,0.528639243,9.965636187,0.176209901,561086.807,108798.5224,1.70E+10,1346.041391,0.00E+00,0.057029486,0.050522284,0.001923643,0.002811804,0.008304094,0.157514723,0.221893965,1.19E+06,650.4445128,1295.828841,50.21254994,1965.319189,0.178380538,1.31E+07
8,0.558640429,9.63662346,0.174051788,591048.8758,114626.5726,1.69E+10,1422.081795,0.00E+00,0.060313336,0.053579755,0.002195642,0.002850013,0.008465035,0.154637994,0.217958225,1.23E+06,656.7808585,1365.124191,56.95760367,1922.102583,0.202588222,1.38E+07
9,0.589450158,9.326841201,0.17187611,621639.4487,120590.8053,1.69E+10,1500.425136,0.00E+00,0.063698325,0.056751358,0.002501674,0.002884645,0.008613488,0.151663637,0.213886873,1.27E+06,662.1863195,1435.948131,64.47700455,1877.829001,0.231669563,1.45E+07
10,0.620994741,9.035117522,0.169686889,652779.1026,126680.9041,1.68E+10,1580.984513,0.00E+00,0.067180129,0.060035123,0.002845315,0.002915442,0.008748253,0.148593201,0.209682535,1.31E+06,666.6170881,1508.144611,72.83990196,1832.557662,0.267178653,1.52E+07
11,0.653187668,8.760363108,0.167488181,684378.6857,132886.0481,1.68E+10,1663.661476,0.00E+00,0.070753975,0.063428513,0.003230426,0.002942152,0.008868142,0.145428473,0.205348317,1.35E+06,670.0317003,1581.542552,82.11892408,1786.349267,0.314980753,1.59E+07
12,6.86E-01,8.516335619,0.165283792,7.17E+05,1.39E+05,16733941703,1.75E+03,0.00E+00,7.45E-02,6.70E-02,3.71E-03,2.96E-03,8.95E-03,0.142081882,0.200766664,1.39E+06,6.71E+02,1.66E+03,9.35E+01,1738.466081,3.91E-01,1.67E+07
13,7.19E-01,8.272308131,0.163079403,7.49E+05,1.46E+05,16680560623,1.84E+03,0.00E+00,7.82E-02,7.06E-02,4.20E-03,2.98E-03,9.04E-03,0.138735291,0.19618501,1.44E+06,6.73E+02,1.73E+03,1.05E+02,1690.582895,4.67E-01,1.75E+07
14,0.752573549,8.028280642,0.160875014,780883.2899,152080.1891,1.66E+10,1923.237576,0.00E+00,0.081975723,0.074232429,0.004677617,0.002995276,0.009126897,0.135388699,0.191603356,1.48E+06,673.7921904,1807.011067,116.226509,1642.699709,0.542741618,1.82E+07
15,0.786193659,7.812207751,0.158677621,813207.0102,158634.5026,1.66E+10,2013.162683,0.00E+00,0.085865372,0.078027451,0.005273199,0.003003168,0.009175671,0.131867178,0.186787958,1.52E+06,672.7611355,1883.205473,129.9572105,1593.326084,0.830681601,1.90E+07
16,0.819678396,7.615113305,0.156495788,845196.6345,165275.9567,16519562820,2105.159131,0.00E+00,0.0898524,0.081951988,0.00596967,0.003002961,0.009192843,0.128220086,0.181810046,1559988.453,669.9037572,1959.446337,145.7127946,1542.968732,1.103094554,19833111.86
17,0.853163134,7.41801886,0.154313954,877186.2588,171917.4108,1.65E+10,2197.15558,0.00E+00,0.093839428,0.085876526,0.00666614,0.003002755,0.009210016,0.124572995,0.176832134,1.60E+06,667.0463789,2035.687201,161.4683787,1492.611379,1.375507507,2.06E+07
18,0.886092049,7.238965788,0.152153552,908475.1521,178629.6655,1.64E+10,2290.842454,0.00E+00,0.097916771,0.08991806,0.007475318,0.002993941,0.00919315,0.120803,0.171699751,1.64E+06,662.2794562,2111.422625,179.4198289,1441.326969,2.165378108,2.14E+07
19,0.917823914,7.077258101,0.150020349,938514.6891,185398.9718,16357459809,2385.664911,0.00E+00,0.102078842,0.094058723,0.008413211,0.002975831,0.009140375,0.116911299,0.166421156,1679939.402,655.4832387,2185.889431,199.7754791,1389.143631,136.1086017,22247513.66
20,0.949555778,6.915550414,0.147887147,968554.2262,192168.2781,1.63E+10,2480.487367,0.00E+00,0.106240913,0.098199385,0.009351104,0.002957721,0.009087601,0.113019598,0.161142561,1.72E+06,648.6870211,2260.356238,220.1311292,1336.960293,270.0518254,2.31E+07
