temp,mu,size,NC,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu
3,0.259648895,19.89020095,0.180708909,314037.7225,102190.297,1.65E+10,691.7338439,0,0.188744142,0.027026259,0.000765042,0.001604649,0.002868509,0.104446041,0.174545357,594325.7994,356.6014229,672.5062289,19.22761507,1251.934375,0,1.23E+07
4,0.278627462,19.18346637,0.178641707,334561.2892,108871.3816,1.64E+10,738.565947,8.00E-09,0.187816957,0.029076606,0.000887844,0.001653543,0.002981711,0.103899467,0.173683864,616348.7548,364.6790864,716.464007,22.10193997,1235.934311,0.619113124,1.31E+07
5,0.298712762,18.52022006,0.176510426,355965.6467,115843.8252,1.63E+10,787.6804894,8.10E-09,0.186833557,0.031259254,0.001029026,0.001702551,0.003096258,0.103315525,0.172763821,638553.5688,372.4958786,762.3207158,25.35977355,1219.196115,0.67115328,1.39E+07
6,0.319937378,17.89837118,0.174316708,378239.6736,123106.1253,1.62E+10,839.1026726,8.04E-09,0.185791768,0.033580495,0.001191115,0.001751529,0.003211784,0.102691717,0.171781584,660875.8148,380.0101153,810.0582733,29.04439933,1201.710713,0.711414972,1.48E+07
7,0.34233004,17.31592284,0.172063008,401366.424,130655.5508,1.61E+10,892.8506687,7.97E-09,0.184689583,0.036046675,0.001376948,0.001800319,0.003327847,0.102025297,0.170733323,683246.8461,387.1799599,859.6478841,33.20278462,1183.471992,0.752900732,1.57E+07
8,0.365914563,16.77104301,0.169752169,425321.963,138487.9567,1.59E+10,948.9337431,7.89E-09,0.18352519,0.038664158,0.001589702,0.001848746,0.003443936,0.10131328,0.169614979,705591.1614,393.9620374,911.0481014,37.88564163,1164.475099,0.795505688,1.66E+07
9,0.390708587,16.26206354,0.1673874,450074.6833,146597.792,1.58E+10,1007.351488,7.81E-09,0.182297026,0.041439286,0.001832931,0.001896616,0.003559463,0.100552422,0.168422247,727825.884,400.3114326,964.2039852,43.14750244,1144.716137,0.839102783,1.76E+07
10,0.416722096,15.78748157,0.164972255,475584.5489,154978.1398,1.57E+10,1068.093004,7.73E-09,0.181003856,0.044378329,0.0021106,0.001943714,0.003673757,0.099739176,0.167150561,749860.1216,406.1816509,1019.046252,49.04675264,1124.191766,0.883540533,1.86E+07
11,0.443955666,15.34596345,0.162510598,501802.2422,163620.7917,1.56E+10,1131.136009,7.63E-09,0.179644854,0.047487437,0.002427124,0.001989802,0.003786051,0.098869657,0.165795067,771594.1709,411.5245286,1075.490396,55.64561279,1102.898693,0.92864041,1.96E+07
12,0.472398398,14.93635184,0.160006554,528668.183,172516.3634,1.55E+10,1196.445815,7.54E-09,0.178219704,0.050772581,0.002787406,0.002034616,0.003895477,0.097939599,0.164350608,792918.5238,416.2900773,1133.43576,63.01005487,1080.833038,0.974194137,2.07E+07
13,0.502025476,14.55767654,0.157464467,556111.382,181654.4509,1.53E+10,1263.974143,7.43E-09,0.176728717,0.054239488,0.003196882,0.002077865,0.004001051,0.096944301,0.162811689,813712.6243,420.4262512,1192.764505,71.20963712,1057.989574,1.01996049,2.18E+07
14,0.532795277,14.2091698,0.154888832,584048.0802,191023.8345,1.52E+10,1333.657674,7.32E-09,0.175172955,0.057893571,0.003661558,0.002119228,0.004101661,0.095878568,0.161172452,833843.3202,423.8786194,1253.340437,80.317237,1034.36084,1.065661822,2.29E+07
15,0.56464596,13.89028739,0.152284227,612380.1176,200612.7289,1.51E+10,1405.416271,6.99E-09,0.173554384,0.061739851,0.004188063,0.002158348,0.004196059,0.094736646,0.159426642,853162.9443,426.5899319,1315.007615,90.40865596,1009.936116,1.079761166,2.41E+07
16,0.597491427,13.60073663,0.149655237,640992.9683,210409.0842,1.49E+10,1479.150743,7.07E-09,0.171876037,0.065782883,0.004783685,0.002194831,0.004282845,0.093512147,0.157567566,871506.9631,428.4995684,1377.588679,101.5620637,984.7002817,1.155552835,2.52E+07
17,0.631216544,13.34051368,0.147006368,669753.3556,220400.934,1.48E+10,1554.740002,6.93E-09,0.170142208,0.07002666,0.005456421,0.002228242,0.00436045,0.09219796,0.155588054,888691.1078,429.5428538,1440.882765,113.8572376,958.6325501,1.198967916,2.64E+07
18,0.66440763,36.58509843,0.159787286,246591.903,81305.81422,7.55E+09,575.8818807,6.40E-09,0.16808681,0.074405194,0.006208853,0.002291036,0.004494572,0.091103569,0.15340996,903706.955,153.9614408,530.9338838,44.94799687,330.2189958,0.413751148,9.76E+06
19,0.700665092,12.90978881,0.141666049,727072.0774,240926.1027,1.45E+10,1710.866683,6.63E-09,0.166532816,0.079129113,0.007069022,0.002283867,0.00448095,0.089267888,0.151236337,918722.8022,428.7464295,1568.673062,142.1936208,903.8817821,1.280400422,2.89E+07
20,0.735956878,12.74124613,0.138982346,755241.2712,251439.6998,1.43E+10,1791.015356,6.46E-09,0.164674091,0.083992184,0.008028817,0.002304955,0.004519774,0.087633252,0.14884692,931069.0251,426.7492166,1632.623765,158.391591,875.1164729,1.317301664,3.02E+07
21,0.771247782,12.60614799,0.136294046,782770.7531,262110.3338,1.42E+10,1872.228635,6.28E-09,0.162794081,0.089064611,0.009105666,0.002320706,0.004541256,0.085871166,0.146302508,941242.552,423.5684984,1696.187777,176.0408574,845.3519634,1.35080155,3.15E+07
22,0.806169078,12.50707035,0.133603761,809377.6431,272933.1806,1.40E+10,1954.200368,6.09E-09,0.160906891,0.094346251,0.010311749,0.00233039,0.004542843,0.083969216,0.143592654,948895.8554,419.1050975,1758.99416,195.2062085,814.5186658,1.380168287,3.28E+07
23,0.840269362,12.44754825,0.130913405,834733.0053,283906.3547,1.39E+10,2036.562795,5.89E-09,0.159029433,0.099835873,0.011660202,0.002333198,0.004521778,0.081913485,0.140706025,953631.3752,413.2497395,1820.621605,215.9411893,782.5337654,1.404596221,3.41E+07
24,0.872999172,12.4323612,0.128224092,858454.7883,295031.3807,1.37E+10,2118.874333,5.68E-09,0.157181749,0.105531089,0.013165147,0.002328228,0.004475118,0.079688369,0.137630295,954994.6896,405.882235,1880.590777,238.2835559,749.3008355,1.423204382,3.54E+07
25,0.90369287,12.46793428,0.125536046,880100.3142,306313.5875,1.36E+10,2200.605528,5.45E-09,0.155387334,0.111428287,0.01484172,0.002314477,0.004399774,0.07727637,0.134352032,952467.8298,396.8710639,1938.355864,262.2496641,714.7101702,1.435042198,3.68E+07
26,0.931547283,12.56291375,0.122848522,899158.7128,317762.3699,1.34E+10,2281.123363,5.21E-09,0.153673478,0.117522582,0.016706103,0.00229083,0.004292568,0.074657868,0.130856566,945463.3659,386.0736072,1993.295712,287.8276515,678.6401271,1.43909785,3.81E+07
27,0.955596582,12.72901261,0.120159757,915043.9458,329391.2488,1.32E+10,2359.674473,4.62E-09,0.152071592,0.123807781,0.01877554,0.002256043,0.004150327,0.071810865,0.127127846,933320.166,373.3373458,2044.705158,314.9693143,640.9598309,1.336098617,3.95E+07
28,0.974682706,12.98228717,0.117466949,927089.4073,341217.6508,1.30E+10,2435.368293,4.33E-09,0.150617531,0.130276358,0.021068361,0.002208733,0.003970029,0.068710703,0.123148282,915302.0941,358.5024208,2091.787611,343.580682,601.5336547,1.309803234,4.09E+07
