temp,panel,sensi,value
3,ild,a,0
4,ild,a,0
5,ild,a,0
6,ild,a,0
7,ild,a,0
8,ild,a,0
9,ild,a,0
10,ild,a,0
11,ild,a,0
12,ild,a,0
13,ild,a,0
14,ild,a,0
15,ild,a,0
16,ild,a,0
17,ild,a,0
18,ild,a,0
19,ild,a,0
20,ild,a,0
21,ild,a,0
22,ild,a,0
23,ild,a,0
24,ild,a,0.058482445
25,ild,a,0.061247987
26,ild,a,0.064126458
27,ild,a,0.067135636
28,ild,a,0.070298135
29,ild,a,0.073642225
30,ild,a,0.077202658
31,ild,a,0.081021481
32,ild,a,0.085332215
33,ild,a,0.089642948
34,ild,a,0.09457117
35,ild,a,0.100008307
36,ild,a,0.106035165
37,ild,a,0.11273425
38,ild,a,0.119433335
39,ild,a,0.126132419
40,ild,a,NA
41,ild,a,NA
42,ild,a,NA
43,ild,a,NA
44,ild,a,NA
45,ild,a,NA
3,ild,b,0
4,ild,b,5.41E-10
5,ild,b,6.13E-10
6,ild,b,6.99E-10
7,ild,b,0
8,ild,b,9.30E-10
9,ild,b,1.09E-09
10,ild,b,0
11,ild,b,0
12,ild,b,1.92E-09
13,ild,b,0
14,ild,b,0
15,ild,b,0
16,ild,b,7.96E-09
17,ild,b,1.80E-08
18,ild,b,0.039694667
19,ild,b,0.0419067
20,ild,b,0.044118734
21,ild,b,0.046330767
22,ild,b,0.048613506
23,ild,b,0.050972221
24,ild,b,0.053461057
25,ild,b,0.055949892
26,ild,b,0.058592277
27,ild,b,0.061358786
28,ild,b,0.064456445
29,ild,b,0.067554103
30,ild,b,0.070651762
31,ild,b,0.074512074
32,ild,b,0.078372386
33,ild,b,0.082232698
34,ild,b,0.086853108
35,ild,b,0.092584185
36,ild,b,0.098315262
37,ild,b,0.104046339
38,ild,b,0.109777416
39,ild,b,0.115508493
40,ild,b,NA
41,ild,b,NA
42,ild,b,NA
43,ild,b,NA
44,ild,b,NA
45,ild,b,NA
3,ild,c,6.29E-10
4,ild,c,7.30E-10
5,ild,c,8.56E-10
6,ild,c,1.02E-09
7,ild,c,1.23E-09
8,ild,c,1.48E-09
9,ild,c,1.95E-09
10,ild,c,2.63E-09
11,ild,c,0
12,ild,c,4.55E-14
13,ild,c,1.71E-08
14,ild,c,0.029621826
15,ild,c,0.031361102
16,ild,c,0.033100378
17,ild,c,0.034839654
18,ild,c,0.03669494
19,ild,c,0.038701892
20,ild,c,0.040708843
21,ild,c,0.042715795
22,ild,c,0.044722747
23,ild,c,0.046729698
24,ild,c,0.04873665
25,ild,c,0.050743602
26,ild,c,0.053931136
27,ild,c,0.056560283
28,ild,c,0.059189429
29,ild,c,0.06205411
30,ild,c,0.065117688
31,ild,c,0.068726595
32,ild,c,0.072335501
33,ild,c,0.075944408
34,ild,c,0.080532814
35,ild,c,0.085121221
36,ild,c,0.091603116
37,ild,c,0.098085011
38,ild,c,0.104566906
39,ild,c,0.111048801
40,ild,c,NA
41,ild,c,NA
42,ild,c,NA
43,ild,c,NA
44,ild,c,NA
45,ild,c,NA
3,ild,d,0
4,ild,d,0
5,ild,d,1.41E-09
6,ild,d,1.88E-09
7,ild,d,2.63E-09
8,ild,d,0.01889431
9,ild,d,0.020288308
10,ild,d,0.021682306
11,ild,d,0.023076304
12,ild,d,0.024470302
13,ild,d,0.025918572
14,ild,d,0.027420932
15,ild,d,0.028977175
16,ild,d,0.030587147
17,ild,d,0.032250846
18,ild,d,0.033995923
19,ild,d,0.035740999
20,ild,d,0.037569564
21,ild,d,0.039456529
22,ild,d,0.041405372
23,ild,d,0.043421126
24,ild,d,0.045510798
25,ild,d,0.047844989
26,ild,d,0.05017918
27,ild,d,0.052513371
28,ild,d,0.054847561
29,ild,d,0.057614961
30,ild,d,0.060382361
31,ild,d,0.063474341
32,ild,d,0.066842659
33,ild,d,0.070741979
34,ild,d,0.074641299
35,ild,d,0.080141695
36,ild,d,0.08564209
37,ild,d,0.091142486
38,ild,d,0.096642881
39,ild,d,0.103993934
40,ild,d,NA
41,ild,d,NA
42,ild,d,NA
43,ild,d,NA
44,ild,d,NA
45,ild,d,NA
3,kgl,a,0
4,kgl,a,0
5,kgl,a,0
6,kgl,a,0
7,kgl,a,0
8,kgl,a,0
9,kgl,a,0
10,kgl,a,0
11,kgl,a,0
12,kgl,a,0
13,kgl,a,0
14,kgl,a,0
15,kgl,a,0
16,kgl,a,0
17,kgl,a,0
18,kgl,a,0
19,kgl,a,0
20,kgl,a,0
21,kgl,a,0
22,kgl,a,0
23,kgl,a,0
24,kgl,a,0.058482445
25,kgl,a,0.061247987
